iterations ,300,: Average distance in clusters:, 0.356843, Average distance between clusters:, 0.398127, Davies-Bouldin index:, 1.792607, 
iterations ,300,: Average distance in clusters:, 0.358916, Average distance between clusters:, 0.758699, Davies-Bouldin index:, 0.946136, 
iterations ,300,: Average distance in clusters:, 0.349218, Average distance between clusters:, 1.740986, Davies-Bouldin index:, 0.401173, 
iterations ,300,: Average distance in clusters:, 0.480965, Average distance between clusters:, 0.309946, Davies-Bouldin index:, 3.103538, 
iterations ,300,: Average distance in clusters:, 0.359799, Average distance between clusters:, 0.664683, Davies-Bouldin index:, 1.082617, 
iterations ,300,: Average distance in clusters:, 0.350152, Average distance between clusters:, 0.741251, Davies-Bouldin index:, 0.944761, 
iterations ,300,: Average distance in clusters:, 0.351182, Average distance between clusters:, 0.582123, Davies-Bouldin index:, 1.206557, 
iterations ,300,: Average distance in clusters:, 0.358310, Average distance between clusters:, 0.816008, Davies-Bouldin index:, 0.878203, 
iterations ,300,: Average distance in clusters:, 0.355017, Average distance between clusters:, 0.916236, Davies-Bouldin index:, 0.774946, 
iterations ,300,: Average distance in clusters:, 0.357262, Average distance between clusters:, 0.413203, Davies-Bouldin index:, 1.729233, 
iterations ,300,: Average distance in clusters:, 0.357046, Average distance between clusters:, 0.483848, Davies-Bouldin index:, 1.475861, 
iterations ,300,: Average distance in clusters:, 0.351439, Average distance between clusters:, 0.991505, Davies-Bouldin index:, 0.708900, 
iterations ,300,: Average distance in clusters:, 0.355757, Average distance between clusters:, 0.395793, Davies-Bouldin index:, 1.797689, 
iterations ,300,: Average distance in clusters:, 0.355326, Average distance between clusters:, 0.572932, Davies-Bouldin index:, 1.240379, 
iterations ,300,: Average distance in clusters:, 0.357563, Average distance between clusters:, 0.967974, Davies-Bouldin index:, 0.738787, 
iterations ,300,: Average distance in clusters:, 0.359151, Average distance between clusters:, 0.798506, Davies-Bouldin index:, 0.899558, 
iterations ,300,: Average distance in clusters:, 0.353499, Average distance between clusters:, 0.714880, Davies-Bouldin index:, 0.988974, 
iterations ,300,: Average distance in clusters:, 0.356937, Average distance between clusters:, 1.225877, Davies-Bouldin index:, 0.582337, 
iterations ,300,: Average distance in clusters:, 0.360504, Average distance between clusters:, 0.849736, Davies-Bouldin index:, 0.848509, 
iterations ,300,: Average distance in clusters:, 0.359964, Average distance between clusters:, 0.478569, Davies-Bouldin index:, 1.504334, 
