iterations ,300,: Average distance in clusters:, 0.474709, Average distance between clusters:, 0.659829, Davies-Bouldin index:, 2.307546, 
iterations ,300,: Average distance in clusters:, 0.274153, Average distance between clusters:, 0.877377, Davies-Bouldin index:, 1.058440, 
iterations ,300,: Average distance in clusters:, 0.472368, Average distance between clusters:, 0.804779, Davies-Bouldin index:, 3.178826, 
iterations ,300,: Average distance in clusters:, 0.275056, Average distance between clusters:, 1.042780, Davies-Bouldin index:, 1.035877, 
iterations ,300,: Average distance in clusters:, 0.511279, Average distance between clusters:, 0.605120, Davies-Bouldin index:, 2.431048, 
iterations ,300,: Average distance in clusters:, 0.274636, Average distance between clusters:, 0.950358, Davies-Bouldin index:, 0.919521, 
iterations ,300,: Average distance in clusters:, 0.275048, Average distance between clusters:, 0.595257, Davies-Bouldin index:, 1.370097, 
iterations ,300,: Average distance in clusters:, 0.492951, Average distance between clusters:, 0.751802, Davies-Bouldin index:, 2.190047, 
iterations ,300,: Average distance in clusters:, 0.272321, Average distance between clusters:, 1.231338, Davies-Bouldin index:, 0.971184, 
iterations ,300,: Average distance in clusters:, 0.274894, Average distance between clusters:, 0.923378, Davies-Bouldin index:, 1.095001, 
iterations ,300,: Average distance in clusters:, 0.273592, Average distance between clusters:, 1.214748, Davies-Bouldin index:, 0.611521, 
iterations ,300,: Average distance in clusters:, 0.486100, Average distance between clusters:, 0.734386, Davies-Bouldin index:, 1.700471, 
iterations ,300,: Average distance in clusters:, 0.273212, Average distance between clusters:, 0.912766, Davies-Bouldin index:, 0.981497, 
iterations ,300,: Average distance in clusters:, 0.274194, Average distance between clusters:, 0.759116, Davies-Bouldin index:, 1.338286, 
iterations ,300,: Average distance in clusters:, 0.273514, Average distance between clusters:, 1.220944, Davies-Bouldin index:, 0.868613, 
iterations ,300,: Average distance in clusters:, 0.274718, Average distance between clusters:, 1.334720, Davies-Bouldin index:, 0.816826, 
iterations ,300,: Average distance in clusters:, 0.276429, Average distance between clusters:, 0.895241, Davies-Bouldin index:, 1.131699, 
iterations ,300,: Average distance in clusters:, 0.274894, Average distance between clusters:, 1.278701, Davies-Bouldin index:, 0.775803, 
iterations ,300,: Average distance in clusters:, 0.494817, Average distance between clusters:, 0.606002, Davies-Bouldin index:, 3.566177, 
iterations ,300,: Average distance in clusters:, 0.274731, Average distance between clusters:, 0.676071, Davies-Bouldin index:, 1.434379, 
iterations ,300,: Average distance in clusters:, 0.273617, Average distance between clusters:, 0.709424, Davies-Bouldin index:, 1.463590, 
iterations ,300,: Average distance in clusters:, 0.274925, Average distance between clusters:, 0.814711, Davies-Bouldin index:, 1.242783, 
iterations ,300,: Average distance in clusters:, 0.274596, Average distance between clusters:, 0.876143, Davies-Bouldin index:, 0.828374, 
iterations ,300,: Average distance in clusters:, 0.274604, Average distance between clusters:, 0.751579, Davies-Bouldin index:, 1.156471, 
iterations ,300,: Average distance in clusters:, 0.274717, Average distance between clusters:, 1.411934, Davies-Bouldin index:, 0.931880, 
iterations ,300,: Average distance in clusters:, 0.274630, Average distance between clusters:, 0.564333, Davies-Bouldin index:, 1.349992, 
iterations ,300,: Average distance in clusters:, 0.274897, Average distance between clusters:, 0.873089, Davies-Bouldin index:, 0.752898, 
iterations ,300,: Average distance in clusters:, 0.275456, Average distance between clusters:, 0.771882, Davies-Bouldin index:, 0.987659, 
iterations ,300,: Average distance in clusters:, 0.273848, Average distance between clusters:, 0.724836, Davies-Bouldin index:, 1.440090, 
iterations ,300,: Average distance in clusters:, 0.273904, Average distance between clusters:, 1.153543, Davies-Bouldin index:, 0.913633, 
iterations ,300,: Average distance in clusters:, 0.275135, Average distance between clusters:, 0.981878, Davies-Bouldin index:, 1.121592, 
iterations ,300,: Average distance in clusters:, 0.273775, Average distance between clusters:, 1.160926, Davies-Bouldin index:, 0.930282, 
iterations ,300,: Average distance in clusters:, 0.274814, Average distance between clusters:, 0.778339, Davies-Bouldin index:, 1.321059, 
iterations ,300,: Average distance in clusters:, 0.518044, Average distance between clusters:, 0.616277, Davies-Bouldin index:, 2.363996, 
iterations ,300,: Average distance in clusters:, 0.273814, Average distance between clusters:, 0.835413, Davies-Bouldin index:, 1.045795, 
iterations ,300,: Average distance in clusters:, 0.273550, Average distance between clusters:, 1.134887, Davies-Bouldin index:, 0.911187, 
iterations ,300,: Average distance in clusters:, 0.366241, Average distance between clusters:, 0.658735, Davies-Bouldin index:, 1.685934, 
iterations ,300,: Average distance in clusters:, 0.518514, Average distance between clusters:, 0.656348, Davies-Bouldin index:, 3.461128, 
iterations ,300,: Average distance in clusters:, 0.464670, Average distance between clusters:, 0.962183, Davies-Bouldin index:, 2.067078, 
iterations ,300,: Average distance in clusters:, 0.523783, Average distance between clusters:, 0.792849, Davies-Bouldin index:, 2.343785, 
iterations ,300,: Average distance in clusters:, 0.469352, Average distance between clusters:, 0.768760, Davies-Bouldin index:, 2.762924, 
iterations ,300,: Average distance in clusters:, 0.275009, Average distance between clusters:, 0.590842, Davies-Bouldin index:, 1.250951, 
iterations ,300,: Average distance in clusters:, 0.275426, Average distance between clusters:, 0.705519, Davies-Bouldin index:, 1.125401, 
iterations ,300,: Average distance in clusters:, 0.447389, Average distance between clusters:, 0.676199, Davies-Bouldin index:, 2.191266, 
iterations ,300,: Average distance in clusters:, 0.272304, Average distance between clusters:, 0.631491, Davies-Bouldin index:, 1.485474, 
iterations ,300,: Average distance in clusters:, 0.273939, Average distance between clusters:, 0.573649, Davies-Bouldin index:, 1.557366, 
iterations ,300,: Average distance in clusters:, 0.274481, Average distance between clusters:, 1.023174, Davies-Bouldin index:, 1.246988, 
iterations ,300,: Average distance in clusters:, 0.275100, Average distance between clusters:, 1.210029, Davies-Bouldin index:, 0.925241, 
iterations ,300,: Average distance in clusters:, 0.274711, Average distance between clusters:, 0.957588, Davies-Bouldin index:, 0.990553, 
iterations ,300,: Average distance in clusters:, 0.275327, Average distance between clusters:, 0.803842, Davies-Bouldin index:, 1.044310, 
iterations ,300,: Average distance in clusters:, 0.275001, Average distance between clusters:, 0.911907, Davies-Bouldin index:, 1.048762, 
iterations ,300,: Average distance in clusters:, 0.275518, Average distance between clusters:, 1.110057, Davies-Bouldin index:, 1.156327, 
iterations ,300,: Average distance in clusters:, 0.272404, Average distance between clusters:, 1.147306, Davies-Bouldin index:, 0.783154, 
iterations ,300,: Average distance in clusters:, 0.272994, Average distance between clusters:, 1.113782, Davies-Bouldin index:, 0.806200, 
iterations ,300,: Average distance in clusters:, 0.274718, Average distance between clusters:, 0.966876, Davies-Bouldin index:, 1.225271, 
