iterations ,300,: Average distance in clusters:,0.610154, Average distance between clusters:,1.156964, Davies-Bouldin index:,1.05475, 
iterations ,300,: Average distance in clusters:,0.999331, Average distance between clusters:,0.982711, Davies-Bouldin index:,2.033825, 
iterations ,300,: Average distance in clusters:,0.612059, Average distance between clusters:,1.259341, Davies-Bouldin index:,0.972032, 
iterations ,300,: Average distance in clusters:,1.050745, Average distance between clusters:,0.929614, Davies-Bouldin index:,2.260605, 
iterations ,300,: Average distance in clusters:,0.610209, Average distance between clusters:,1.23538, Davies-Bouldin index:,0.987889, 
iterations ,300,: Average distance in clusters:,0.608888, Average distance between clusters:,1.244521, Davies-Bouldin index:,0.97851, 
iterations ,300,: Average distance in clusters:,0.610953, Average distance between clusters:,1.412088, Davies-Bouldin index:,0.865319, 
iterations ,300,: Average distance in clusters:,1.050808, Average distance between clusters:,0.630119, Davies-Bouldin index:,3.335271, 
iterations ,300,: Average distance in clusters:,0.612109, Average distance between clusters:,0.891645, Davies-Bouldin index:,1.372987, 
iterations ,300,: Average distance in clusters:,0.61054, Average distance between clusters:,1.203584, Davies-Bouldin index:,1.014536, 
iterations ,300,: Average distance in clusters:,1.060174, Average distance between clusters:,0.732229, Davies-Bouldin index:,2.895745, 
iterations ,300,: Average distance in clusters:,1.039926, Average distance between clusters:,0.937418, Davies-Bouldin index:,2.218702, 
iterations ,300,: Average distance in clusters:,0.608062, Average distance between clusters:,1.077682, Davies-Bouldin index:,1.128464, 
iterations ,300,: Average distance in clusters:,0.611095, Average distance between clusters:,0.925224, Davies-Bouldin index:,1.320965, 
iterations ,300,: Average distance in clusters:,0.609992, Average distance between clusters:,1.304762, Davies-Bouldin index:,0.935024, 
iterations ,300,: Average distance in clusters:,0.611541, Average distance between clusters:,1.225458, Davies-Bouldin index:,0.998061, 
iterations ,300,: Average distance in clusters:,0.609624, Average distance between clusters:,1.066714, Davies-Bouldin index:,1.142993, 
iterations ,300,: Average distance in clusters:,0.611989, Average distance between clusters:,1.109006, Davies-Bouldin index:,1.103671, 
iterations ,300,: Average distance in clusters:,0.609168, Average distance between clusters:,1.05347, Davies-Bouldin index:,1.156499, 
iterations ,300,: Average distance in clusters:,0.611292, Average distance between clusters:,1.339346, Davies-Bouldin index:,0.912823, 
iterations ,300,: Average distance in clusters:,1.160979, Average distance between clusters:,0.680778, Davies-Bouldin index:,3.41074, 
iterations ,300,: Average distance in clusters:,0.609029, Average distance between clusters:,1.401598, Davies-Bouldin index:,0.869049, 
iterations ,300,: Average distance in clusters:,0.610419, Average distance between clusters:,1.227139, Davies-Bouldin index:,0.994865, 
iterations ,300,: Average distance in clusters:,0.610517, Average distance between clusters:,1.167164, Davies-Bouldin index:,1.046154, 
iterations ,300,: Average distance in clusters:,1.116378, Average distance between clusters:,0.566914, Davies-Bouldin index:,3.938441, 
iterations ,300,: Average distance in clusters:,0.610974, Average distance between clusters:,1.336315, Davies-Bouldin index:,0.914416, 
iterations ,300,: Average distance in clusters:,1.095384, Average distance between clusters:,0.833002, Davies-Bouldin index:,2.629968, 
iterations ,300,: Average distance in clusters:,1.113805, Average distance between clusters:,0.625858, Davies-Bouldin index:,3.559289, 
iterations ,300,: Average distance in clusters:,1.094076, Average distance between clusters:,0.736761, Davies-Bouldin index:,2.96996, 
iterations ,300,: Average distance in clusters:,0.609525, Average distance between clusters:,1.085559, Davies-Bouldin index:,1.12297, 
iterations ,300,: Average distance in clusters:,1.061111, Average distance between clusters:,0.620026, Davies-Bouldin index:,3.422794, 
iterations ,300,: Average distance in clusters:,0.608555, Average distance between clusters:,1.394322, Davies-Bouldin index:,0.872905, 
iterations ,300,: Average distance in clusters:,0.96452, Average distance between clusters:,0.939432, Davies-Bouldin index:,2.053411, 
iterations ,300,: Average distance in clusters:,0.608727, Average distance between clusters:,1.295551, Davies-Bouldin index:,0.939719, 
iterations ,300,: Average distance in clusters:,1.173159, Average distance between clusters:,0.618606, Davies-Bouldin index:,3.792913, 
iterations ,300,: Average distance in clusters:,0.609489, Average distance between clusters:,1.298927, Davies-Bouldin index:,0.93845, 
iterations ,300,: Average distance in clusters:,0.612067, Average distance between clusters:,1.250512, Davies-Bouldin index:,0.978906, 
iterations ,300,: Average distance in clusters:,1.007437, Average distance between clusters:,0.781046, Davies-Bouldin index:,2.579713, 
iterations ,300,: Average distance in clusters:,1.00785, Average distance between clusters:,0.840311, Davies-Bouldin index:,2.398754, 
iterations ,300,: Average distance in clusters:,0.95102, Average distance between clusters:,0.868577, Davies-Bouldin index:,2.189836, 
iterations ,300,: Average distance in clusters:,0.610229, Average distance between clusters:,1.275451, Davies-Bouldin index:,0.956884, 
iterations ,300,: Average distance in clusters:,0.611339, Average distance between clusters:,1.218115, Davies-Bouldin index:,1.003746, 
iterations ,300,: Average distance in clusters:,0.609773, Average distance between clusters:,1.446434, Davies-Bouldin index:,0.843139, 
iterations ,300,: Average distance in clusters:,0.611556, Average distance between clusters:,1.436033, Davies-Bouldin index:,0.85173, 
iterations ,300,: Average distance in clusters:,0.610911, Average distance between clusters:,1.070387, Davies-Bouldin index:,1.141476, 
iterations ,300,: Average distance in clusters:,1.012096, Average distance between clusters:,0.88175, Davies-Bouldin index:,2.295652, 
iterations ,300,: Average distance in clusters:,0.61009, Average distance between clusters:,1.384782, Davies-Bouldin index:,0.881135, 
iterations ,300,: Average distance in clusters:,1.004971, Average distance between clusters:,0.876831, Davies-Bouldin index:,2.292279, 
iterations ,300,: Average distance in clusters:,1.083254, Average distance between clusters:,0.539476, Davies-Bouldin index:,4.015949, 
iterations ,300,: Average distance in clusters:,1.053432, Average distance between clusters:,0.891912, Davies-Bouldin index:,2.362188, 
iterations ,300,: Average distance in clusters:,0.611794, Average distance between clusters:,1.011982, Davies-Bouldin index:,1.2091, 
iterations ,300,: Average distance in clusters:,0.609439, Average distance between clusters:,1.10327, Davies-Bouldin index:,1.104787, 
iterations ,300,: Average distance in clusters:,0.611538, Average distance between clusters:,1.074023, Davies-Bouldin index:,1.13878, 
iterations ,300,: Average distance in clusters:,0.610318, Average distance between clusters:,0.88359, Davies-Bouldin index:,1.381452, 
iterations ,300,: Average distance in clusters:,0.61164, Average distance between clusters:,1.104389, Davies-Bouldin index:,1.107653, 
iterations ,300,: Average distance in clusters:,0.609424, Average distance between clusters:,1.3031, Davies-Bouldin index:,0.935345, 
iterations ,300,: Average distance in clusters:,1.138814, Average distance between clusters:,0.623374, Davies-Bouldin index:,3.653711, 
iterations ,300,: Average distance in clusters:,0.611038, Average distance between clusters:,1.049012, Davies-Bouldin index:,1.164979, 
iterations ,300,: Average distance in clusters:,0.608961, Average distance between clusters:,1.375145, Davies-Bouldin index:,0.885669, 
iterations ,300,: Average distance in clusters:,0.610661, Average distance between clusters:,0.967609, Davies-Bouldin index:,1.262206, 
iterations ,300,: Average distance in clusters:,0.610629, Average distance between clusters:,1.235333, Davies-Bouldin index:,0.988606, 
iterations ,300,: Average distance in clusters:,0.612326, Average distance between clusters:,1.083993, Davies-Bouldin index:,1.12976, 
iterations ,300,: Average distance in clusters:,0.612671, Average distance between clusters:,1.304856, Davies-Bouldin index:,0.939063, 
iterations ,300,: Average distance in clusters:,0.612896, Average distance between clusters:,1.259057, Davies-Bouldin index:,0.97358, 
iterations ,300,: Average distance in clusters:,0.610349, Average distance between clusters:,1.105872, Davies-Bouldin index:,1.103832, 
iterations ,300,: Average distance in clusters:,0.612635, Average distance between clusters:,1.232224, Davies-Bouldin index:,0.994357, 
iterations ,300,: Average distance in clusters:,0.610107, Average distance between clusters:,0.899496, Davies-Bouldin index:,1.356553, 
iterations ,300,: Average distance in clusters:,0.61045, Average distance between clusters:,1.180692, Davies-Bouldin index:,1.034054, 
iterations ,300,: Average distance in clusters:,0.610481, Average distance between clusters:,1.272964, Davies-Bouldin index:,0.959149, 
iterations ,300,: Average distance in clusters:,0.609873, Average distance between clusters:,1.313806, Davies-Bouldin index:,0.928407, 
iterations ,300,: Average distance in clusters:,0.608702, Average distance between clusters:,1.229791, Davies-Bouldin index:,0.989928, 
iterations ,300,: Average distance in clusters:,0.611782, Average distance between clusters:,1.159135, Davies-Bouldin index:,1.055584, 
iterations ,300,: Average distance in clusters:,0.611277, Average distance between clusters:,1.078113, Davies-Bouldin index:,1.133976, 
iterations ,300,: Average distance in clusters:,0.611204, Average distance between clusters:,1.137875, Davies-Bouldin index:,1.074291, 
iterations ,300,: Average distance in clusters:,0.608987, Average distance between clusters:,1.356929, Davies-Bouldin index:,0.897596, 
iterations ,300,: Average distance in clusters:,1.063642, Average distance between clusters:,0.819403, Davies-Bouldin index:,2.596138, 
iterations ,300,: Average distance in clusters:,0.967543, Average distance between clusters:,1.010845, Davies-Bouldin index:,1.914325, 
iterations ,300,: Average distance in clusters:,0.610987, Average distance between clusters:,1.382925, Davies-Bouldin index:,0.883616, 
iterations ,300,: Average distance in clusters:,1.067692, Average distance between clusters:,0.681832, Davies-Bouldin index:,3.131833, 
