iterations ,300,: Average distance in clusters:, 0.081693, Average distance between clusters:, 0.660170, Davies-Bouldin index:, 2.168622, 
iterations ,300,: Average distance in clusters:, 0.051173, Average distance between clusters:, 0.506843, Davies-Bouldin index:, 1.190213, 
iterations ,300,: Average distance in clusters:, 0.082977, Average distance between clusters:, 0.532384, Davies-Bouldin index:, 1.076953, 
iterations ,300,: Average distance in clusters:, 0.093999, Average distance between clusters:, 0.454094, Davies-Bouldin index:, 1.357735, 
iterations ,300,: Average distance in clusters:, 0.116945, Average distance between clusters:, 0.543263, Davies-Bouldin index:, 2.231200, 
iterations ,300,: Average distance in clusters:, 0.090568, Average distance between clusters:, 0.664176, Davies-Bouldin index:, 1.423050, 
iterations ,300,: Average distance in clusters:, 0.117937, Average distance between clusters:, 0.468987, Davies-Bouldin index:, 1.846056, 
iterations ,300,: Average distance in clusters:, 0.050642, Average distance between clusters:, 0.503169, Davies-Bouldin index:, 1.286518, 
iterations ,300,: Average distance in clusters:, 0.087901, Average distance between clusters:, 0.461783, Davies-Bouldin index:, 1.480431, 
iterations ,300,: Average distance in clusters:, 0.073079, Average distance between clusters:, 0.524992, Davies-Bouldin index:, 1.463108, 
iterations ,300,: Average distance in clusters:, 0.098621, Average distance between clusters:, 0.409525, Davies-Bouldin index:, 2.145723, 
iterations ,300,: Average distance in clusters:, 0.145243, Average distance between clusters:, 0.472078, Davies-Bouldin index:, 2.168798, 
iterations ,300,: Average distance in clusters:, 0.075512, Average distance between clusters:, 0.475536, Davies-Bouldin index:, 1.471524, 
iterations ,300,: Average distance in clusters:, 0.070030, Average distance between clusters:, 0.629281, Davies-Bouldin index:, 0.986445, 
iterations ,300,: Average distance in clusters:, 0.049578, Average distance between clusters:, 0.589942, Davies-Bouldin index:, 1.708258, 
iterations ,300,: Average distance in clusters:, 0.050122, Average distance between clusters:, 0.511237, Davies-Bouldin index:, 1.815946, 
iterations ,300,: Average distance in clusters:, 0.050764, Average distance between clusters:, 0.517549, Davies-Bouldin index:, 1.122874, 
iterations ,300,: Average distance in clusters:, 0.102797, Average distance between clusters:, 0.447065, Davies-Bouldin index:, 1.414564, 
iterations ,300,: Average distance in clusters:, 0.146994, Average distance between clusters:, 0.502333, Davies-Bouldin index:, 1.924780, 
iterations ,300,: Average distance in clusters:, 0.050866, Average distance between clusters:, 0.715317, Davies-Bouldin index:, 1.012170, 
iterations ,300,: Average distance in clusters:, 0.060388, Average distance between clusters:, 0.588063, Davies-Bouldin index:, 0.905482, 
iterations ,300,: Average distance in clusters:, 0.098709, Average distance between clusters:, 0.481772, Davies-Bouldin index:, 1.560890, 
iterations ,300,: Average distance in clusters:, 0.050036, Average distance between clusters:, 0.461485, Davies-Bouldin index:, 1.372465, 
iterations ,300,: Average distance in clusters:, 0.050754, Average distance between clusters:, 0.384327, Davies-Bouldin index:, 1.400835, 
iterations ,300,: Average distance in clusters:, 0.049765, Average distance between clusters:, 0.483041, Davies-Bouldin index:, 1.270641, 
iterations ,300,: Average distance in clusters:, 0.157935, Average distance between clusters:, 0.479679, Davies-Bouldin index:, 1.806824, 
iterations ,300,: Average distance in clusters:, 0.150632, Average distance between clusters:, 0.444845, Davies-Bouldin index:, 2.371347, 
iterations ,300,: Average distance in clusters:, 0.050658, Average distance between clusters:, 0.522332, Davies-Bouldin index:, 1.033566, 
iterations ,300,: Average distance in clusters:, 0.087872, Average distance between clusters:, 0.669119, Davies-Bouldin index:, 1.447746, 
iterations ,300,: Average distance in clusters:, 0.069267, Average distance between clusters:, 0.573323, Davies-Bouldin index:, 1.111934, 
iterations ,300,: Average distance in clusters:, 0.049876, Average distance between clusters:, 0.518336, Davies-Bouldin index:, 1.244832, 
iterations ,300,: Average distance in clusters:, 0.112874, Average distance between clusters:, 0.428785, Davies-Bouldin index:, 2.250974, 
iterations ,300,: Average distance in clusters:, 0.152955, Average distance between clusters:, 0.391691, Davies-Bouldin index:, 3.261200, 
iterations ,300,: Average distance in clusters:, 0.144062, Average distance between clusters:, 0.417691, Davies-Bouldin index:, 2.962699, 
iterations ,300,: Average distance in clusters:, 0.050372, Average distance between clusters:, 0.485092, Davies-Bouldin index:, 1.355076, 
iterations ,300,: Average distance in clusters:, 0.097473, Average distance between clusters:, 0.455916, Davies-Bouldin index:, 1.440741, 
iterations ,300,: Average distance in clusters:, 0.090184, Average distance between clusters:, 0.588819, Davies-Bouldin index:, 1.494555, 
iterations ,300,: Average distance in clusters:, 0.092634, Average distance between clusters:, 0.502523, Davies-Bouldin index:, 1.596197, 
iterations ,300,: Average distance in clusters:, 0.071098, Average distance between clusters:, 0.592816, Davies-Bouldin index:, 1.159454, 
iterations ,300,: Average distance in clusters:, 0.111750, Average distance between clusters:, 0.539634, Davies-Bouldin index:, 1.814987, 
iterations ,300,: Average distance in clusters:, 0.100677, Average distance between clusters:, 0.409823, Davies-Bouldin index:, 1.284994, 
iterations ,300,: Average distance in clusters:, 0.050892, Average distance between clusters:, 0.514798, Davies-Bouldin index:, 1.284710, 
iterations ,300,: Average distance in clusters:, 0.050349, Average distance between clusters:, 0.478451, Davies-Bouldin index:, 3.365186, 
iterations ,300,: Average distance in clusters:, 0.063385, Average distance between clusters:, 0.323130, Davies-Bouldin index:, 1.338895, 
iterations ,300,: Average distance in clusters:, 0.091606, Average distance between clusters:, 0.579756, Davies-Bouldin index:, 1.488871, 
iterations ,300,: Average distance in clusters:, 0.050146, Average distance between clusters:, 0.590819, Davies-Bouldin index:, 0.842229, 
iterations ,300,: Average distance in clusters:, 0.102729, Average distance between clusters:, 0.556058, Davies-Bouldin index:, 1.392569, 
iterations ,300,: Average distance in clusters:, 0.097342, Average distance between clusters:, 0.360786, Davies-Bouldin index:, 2.226802, 
iterations ,300,: Average distance in clusters:, 0.073149, Average distance between clusters:, 0.392597, Davies-Bouldin index:, 1.911595, 
iterations ,300,: Average distance in clusters:, 0.076774, Average distance between clusters:, 0.531838, Davies-Bouldin index:, 1.288286, 
iterations ,300,: Average distance in clusters:, 0.083992, Average distance between clusters:, 0.477378, Davies-Bouldin index:, 2.255187, 
iterations ,300,: Average distance in clusters:, 0.095369, Average distance between clusters:, 0.455632, Davies-Bouldin index:, 1.881660, 
iterations ,300,: Average distance in clusters:, 0.056917, Average distance between clusters:, 0.496185, Davies-Bouldin index:, 1.545062, 
iterations ,300,: Average distance in clusters:, 0.050584, Average distance between clusters:, 0.528703, Davies-Bouldin index:, 1.117993, 
iterations ,300,: Average distance in clusters:, 0.092100, Average distance between clusters:, 0.547836, Davies-Bouldin index:, 1.692212, 
iterations ,300,: Average distance in clusters:, 0.099191, Average distance between clusters:, 0.551779, Davies-Bouldin index:, 1.483640, 
iterations ,300,: Average distance in clusters:, 0.121395, Average distance between clusters:, 0.532962, Davies-Bouldin index:, 1.841095, 
iterations ,300,: Average distance in clusters:, 0.063784, Average distance between clusters:, 0.489044, Davies-Bouldin index:, 1.281169, 
iterations ,300,: Average distance in clusters:, 0.049575, Average distance between clusters:, 0.542599, Davies-Bouldin index:, 0.919960, 
iterations ,300,: Average distance in clusters:, 0.072321, Average distance between clusters:, 0.462822, Davies-Bouldin index:, 1.559197, 
iterations ,300,: Average distance in clusters:, 0.113273, Average distance between clusters:, 0.474968, Davies-Bouldin index:, 1.448332, 
