iterations ,300,: Average distance in clusters:,0.534675, Average distance between clusters:,0.845367, Davies-Bouldin index:,1.264954, 
iterations ,300,: Average distance in clusters:,0.814031, Average distance between clusters:,0.728078, Davies-Bouldin index:,2.236109, 
iterations ,300,: Average distance in clusters:,0.535214, Average distance between clusters:,0.934066, Davies-Bouldin index:,1.145988, 
iterations ,300,: Average distance in clusters:,0.869897, Average distance between clusters:,0.965933, Davies-Bouldin index:,1.801154, 
iterations ,300,: Average distance in clusters:,0.532911, Average distance between clusters:,1.154358, Davies-Bouldin index:,0.923303, 
iterations ,300,: Average distance in clusters:,0.75696, Average distance between clusters:,0.771035, Davies-Bouldin index:,1.963492, 
iterations ,300,: Average distance in clusters:,0.525874, Average distance between clusters:,1.010899, Davies-Bouldin index:,1.040409, 
iterations ,300,: Average distance in clusters:,0.533933, Average distance between clusters:,0.87627, Davies-Bouldin index:,1.21865, 
iterations ,300,: Average distance in clusters:,0.532592, Average distance between clusters:,1.162232, Davies-Bouldin index:,0.916499, 
iterations ,300,: Average distance in clusters:,0.532429, Average distance between clusters:,0.846164, Davies-Bouldin index:,1.258454, 
iterations ,300,: Average distance in clusters:,0.533249, Average distance between clusters:,1.029313, Davies-Bouldin index:,1.036125, 
iterations ,300,: Average distance in clusters:,0.532518, Average distance between clusters:,0.905503, Davies-Bouldin index:,1.176182, 
iterations ,300,: Average distance in clusters:,0.531868, Average distance between clusters:,1.028749, Davies-Bouldin index:,1.03401, 
iterations ,300,: Average distance in clusters:,0.528483, Average distance between clusters:,0.892946, Davies-Bouldin index:,1.183684, 
iterations ,300,: Average distance in clusters:,0.530564, Average distance between clusters:,1.276184, Davies-Bouldin index:,0.831486, 
iterations ,300,: Average distance in clusters:,0.960295, Average distance between clusters:,0.791244, Davies-Bouldin index:,2.427305, 
iterations ,300,: Average distance in clusters:,0.863785, Average distance between clusters:,0.821738, Davies-Bouldin index:,2.102337, 
iterations ,300,: Average distance in clusters:,0.526945, Average distance between clusters:,0.962629, Davies-Bouldin index:,1.094804, 
iterations ,300,: Average distance in clusters:,0.530687, Average distance between clusters:,0.946012, Davies-Bouldin index:,1.121946, 
iterations ,300,: Average distance in clusters:,0.528499, Average distance between clusters:,0.972909, Davies-Bouldin index:,1.08643, 
iterations ,300,: Average distance in clusters:,0.527165, Average distance between clusters:,1.013415, Davies-Bouldin index:,1.040373, 
iterations ,300,: Average distance in clusters:,0.530138, Average distance between clusters:,1.091427, Davies-Bouldin index:,0.971459, 
iterations ,300,: Average distance in clusters:,0.532403, Average distance between clusters:,1.135997, Davies-Bouldin index:,0.937332, 
iterations ,300,: Average distance in clusters:,0.538254, Average distance between clusters:,0.945424, Davies-Bouldin index:,1.138652, 
iterations ,300,: Average distance in clusters:,0.524997, Average distance between clusters:,0.937317, Davies-Bouldin index:,1.120212, 
iterations ,300,: Average distance in clusters:,0.712055, Average distance between clusters:,1.010856, Davies-Bouldin index:,1.408815, 
iterations ,300,: Average distance in clusters:,0.53035, Average distance between clusters:,1.001238, Davies-Bouldin index:,1.059387, 
iterations ,300,: Average distance in clusters:,0.532441, Average distance between clusters:,1.466094, Davies-Bouldin index:,0.72634, 
iterations ,300,: Average distance in clusters:,0.538312, Average distance between clusters:,0.843086, Davies-Bouldin index:,1.277005, 
iterations ,300,: Average distance in clusters:,0.527403, Average distance between clusters:,1.097367, Davies-Bouldin index:,0.961215, 
iterations ,300,: Average distance in clusters:,0.830671, Average distance between clusters:,0.898276, Davies-Bouldin index:,1.84948, 
iterations ,300,: Average distance in clusters:,0.986028, Average distance between clusters:,0.527378, Davies-Bouldin index:,3.739362, 
iterations ,300,: Average distance in clusters:,0.970633, Average distance between clusters:,0.376832, Davies-Bouldin index:,5.151541, 
iterations ,300,: Average distance in clusters:,0.53959, Average distance between clusters:,0.976228, Davies-Bouldin index:,1.105459, 
iterations ,300,: Average distance in clusters:,0.529623, Average distance between clusters:,0.947068, Davies-Bouldin index:,1.118447, 
iterations ,300,: Average distance in clusters:,0.531156, Average distance between clusters:,1.239947, Davies-Bouldin index:,0.85674, 
iterations ,300,: Average distance in clusters:,0.798458, Average distance between clusters:,0.871928, Davies-Bouldin index:,1.831477, 
iterations ,300,: Average distance in clusters:,0.531577, Average distance between clusters:,0.897515, Davies-Bouldin index:,1.184553, 
iterations ,300,: Average distance in clusters:,0.535804, Average distance between clusters:,1.016677, Davies-Bouldin index:,1.05403, 
iterations ,300,: Average distance in clusters:,0.526242, Average distance between clusters:,0.981844, Davies-Bouldin index:,1.071946, 
iterations ,300,: Average distance in clusters:,0.536052, Average distance between clusters:,1.152865, Davies-Bouldin index:,0.929948, 
iterations ,300,: Average distance in clusters:,0.534827, Average distance between clusters:,1.144016, Davies-Bouldin index:,0.934999, 
iterations ,300,: Average distance in clusters:,0.852889, Average distance between clusters:,0.94354, Davies-Bouldin index:,1.807849, 
iterations ,300,: Average distance in clusters:,0.537057, Average distance between clusters:,0.958389, Davies-Bouldin index:,1.120748, 
iterations ,300,: Average distance in clusters:,0.924208, Average distance between clusters:,0.86339, Davies-Bouldin index:,2.140881, 
