iterations ,300,: Average distance in clusters:,0.076642, Average distance between clusters:,0.504187, Davies-Bouldin index:,1.710011, 
iterations ,300,: Average distance in clusters:,0.046437, Average distance between clusters:,0.616148, Davies-Bouldin index:,0.8835, 
iterations ,300,: Average distance in clusters:,0.135125, Average distance between clusters:,0.407097, Davies-Bouldin index:,1.730249, 
iterations ,300,: Average distance in clusters:,0.046353, Average distance between clusters:,0.499511, Davies-Bouldin index:,1.258343, 
iterations ,300,: Average distance in clusters:,0.048692, Average distance between clusters:,0.700537, Davies-Bouldin index:,0.940264, 
iterations ,300,: Average distance in clusters:,0.050865, Average distance between clusters:,0.34779, Davies-Bouldin index:,1.72005, 
iterations ,300,: Average distance in clusters:,0.093657, Average distance between clusters:,0.254139, Davies-Bouldin index:,2.249433, 
iterations ,300,: Average distance in clusters:,0.049467, Average distance between clusters:,0.429091, Davies-Bouldin index:,1.37522, 
iterations ,300,: Average distance in clusters:,0.079352, Average distance between clusters:,0.347011, Davies-Bouldin index:,1.507591, 
iterations ,300,: Average distance in clusters:,0.184407, Average distance between clusters:,0.540198, Davies-Bouldin index:,2.09667, 
iterations ,300,: Average distance in clusters:,0.113698, Average distance between clusters:,0.309687, Davies-Bouldin index:,2.24382, 
iterations ,300,: Average distance in clusters:,0.04971, Average distance between clusters:,0.373187, Davies-Bouldin index:,1.431529, 
iterations ,300,: Average distance in clusters:,0.048172, Average distance between clusters:,0.398443, Davies-Bouldin index:,1.470081, 
iterations ,300,: Average distance in clusters:,0.081596, Average distance between clusters:,0.386295, Davies-Bouldin index:,1.659982, 
iterations ,300,: Average distance in clusters:,0.089589, Average distance between clusters:,0.353128, Davies-Bouldin index:,1.413838, 
iterations ,300,: Average distance in clusters:,0.080706, Average distance between clusters:,0.549613, Davies-Bouldin index:,1.493815, 
iterations ,300,: Average distance in clusters:,0.047327, Average distance between clusters:,0.434165, Davies-Bouldin index:,1.129128, 
iterations ,300,: Average distance in clusters:,0.074001, Average distance between clusters:,0.405215, Davies-Bouldin index:,1.544736, 
iterations ,300,: Average distance in clusters:,0.05226, Average distance between clusters:,0.404623, Davies-Bouldin index:,1.661556, 
iterations ,300,: Average distance in clusters:,0.109333, Average distance between clusters:,0.437335, Davies-Bouldin index:,1.831531, 
iterations ,300,: Average distance in clusters:,0.134932, Average distance between clusters:,0.406441, Davies-Bouldin index:,2.371411, 
iterations ,300,: Average distance in clusters:,0.049726, Average distance between clusters:,0.336382, Davies-Bouldin index:,1.422013, 
iterations ,300,: Average distance in clusters:,0.049261, Average distance between clusters:,0.667572, Davies-Bouldin index:,1.225363, 
iterations ,300,: Average distance in clusters:,0.08824, Average distance between clusters:,0.637903, Davies-Bouldin index:,0.978482, 
iterations ,300,: Average distance in clusters:,0.049515, Average distance between clusters:,0.573131, Davies-Bouldin index:,1.142531, 
iterations ,300,: Average distance in clusters:,0.052025, Average distance between clusters:,0.54517, Davies-Bouldin index:,1.498517, 
iterations ,300,: Average distance in clusters:,0.050848, Average distance between clusters:,0.305623, Davies-Bouldin index:,1.740501, 
iterations ,300,: Average distance in clusters:,0.085738, Average distance between clusters:,0.624521, Davies-Bouldin index:,1.659038, 
iterations ,300,: Average distance in clusters:,0.062021, Average distance between clusters:,0.431464, Davies-Bouldin index:,1.716799, 
iterations ,300,: Average distance in clusters:,0.048856, Average distance between clusters:,0.248347, Davies-Bouldin index:,1.591724, 
iterations ,300,: Average distance in clusters:,0.089506, Average distance between clusters:,0.402706, Davies-Bouldin index:,1.622329, 
iterations ,300,: Average distance in clusters:,0.047964, Average distance between clusters:,0.462598, Davies-Bouldin index:,1.321857, 
iterations ,300,: Average distance in clusters:,0.055116, Average distance between clusters:,0.376188, Davies-Bouldin index:,1.453144, 
iterations ,300,: Average distance in clusters:,0.047408, Average distance between clusters:,0.448963, Davies-Bouldin index:,1.222357, 
iterations ,300,: Average distance in clusters:,0.099756, Average distance between clusters:,0.335464, Davies-Bouldin index:,1.946497, 
iterations ,300,: Average distance in clusters:,0.12803, Average distance between clusters:,0.172014, Davies-Bouldin index:,3.168427, 
iterations ,300,: Average distance in clusters:,0.076964, Average distance between clusters:,0.727073, Davies-Bouldin index:,1.897225, 
iterations ,300,: Average distance in clusters:,0.077935, Average distance between clusters:,0.499711, Davies-Bouldin index:,1.75886, 
iterations ,300,: Average distance in clusters:,0.048938, Average distance between clusters:,0.486446, Davies-Bouldin index:,1.286459, 
iterations ,300,: Average distance in clusters:,0.045801, Average distance between clusters:,0.506912, Davies-Bouldin index:,1.252315, 
iterations ,300,: Average distance in clusters:,0.049924, Average distance between clusters:,0.410269, Davies-Bouldin index:,1.33926, 
