iterations ,300,: Average distance in clusters:, 0.145514, Average distance between clusters:, 0.200975, Davies-Bouldin index:, 1.448086, 
iterations ,300,: Average distance in clusters:, 0.141358, Average distance between clusters:, 9.471226, Davies-Bouldin index:, 0.029850, 
iterations ,300,: Average distance in clusters:, 0.131392, Average distance between clusters:, 0.173685, Davies-Bouldin index:, 1.512984, 
iterations ,300,: Average distance in clusters:, 0.144922, Average distance between clusters:, 0.091500, Davies-Bouldin index:, 3.167702, 
iterations ,300,: Average distance in clusters:, 0.138136, Average distance between clusters:, 0.191862, Davies-Bouldin index:, 1.439947, 
iterations ,300,: Average distance in clusters:, 0.154568, Average distance between clusters:, 0.108346, Davies-Bouldin index:, 2.853225, 
iterations ,300,: Average distance in clusters:, 0.168099, Average distance between clusters:, 0.227654, Davies-Bouldin index:, 1.476791, 
iterations ,300,: Average distance in clusters:, 0.178235, Average distance between clusters:, 0.240373, Davies-Bouldin index:, 1.482986, 
iterations ,300,: Average distance in clusters:, 0.141242, Average distance between clusters:, 0.188501, Davies-Bouldin index:, 1.498581, 
iterations ,300,: Average distance in clusters:, 0.176843, Average distance between clusters:, 0.302657, Davies-Bouldin index:, 1.168602, 
iterations ,300,: Average distance in clusters:, 0.146029, Average distance between clusters:, 0.202958, Davies-Bouldin index:, 1.439007, 
iterations ,300,: Average distance in clusters:, 0.130641, Average distance between clusters:, 0.116447, Davies-Bouldin index:, 2.243790, 
iterations ,300,: Average distance in clusters:, 0.123494, Average distance between clusters:, 0.293658, Davies-Bouldin index:, 0.841075, 
iterations ,300,: Average distance in clusters:, 0.151380, Average distance between clusters:, 0.207487, Davies-Bouldin index:, 1.459171, 
iterations ,300,: Average distance in clusters:, 0.152910, Average distance between clusters:, 0.188472, Davies-Bouldin index:, 1.622623, 
iterations ,300,: Average distance in clusters:, 0.132544, Average distance between clusters:, 0.167122, Davies-Bouldin index:, 1.586201, 
iterations ,300,: Average distance in clusters:, 0.140477, Average distance between clusters:, 0.800282, Davies-Bouldin index:, 0.351069, 
iterations ,300,: Average distance in clusters:, 0.168518, Average distance between clusters:, 0.196158, Davies-Bouldin index:, 1.718189, 
iterations ,300,: Average distance in clusters:, 0.161274, Average distance between clusters:, 0.186933, Davies-Bouldin index:, 1.725468, 
iterations ,300,: Average distance in clusters:, 0.139950, Average distance between clusters:, 0.184974, Davies-Bouldin index:, 1.513188, 
iterations ,300,: Average distance in clusters:, 0.184703, Average distance between clusters:, 3.154655, Davies-Bouldin index:, 0.117099, 
iterations ,300,: Average distance in clusters:, 0.177526, Average distance between clusters:, 0.175345, Davies-Bouldin index:, 2.024886, 
iterations ,300,: Average distance in clusters:, 0.151553, Average distance between clusters:, 0.149761, Davies-Bouldin index:, 2.023933, 
iterations ,300,: Average distance in clusters:, 0.144255, Average distance between clusters:, 0.048945, Davies-Bouldin index:, 5.894548, 
iterations ,300,: Average distance in clusters:, 0.150262, Average distance between clusters:, 0.204864, Davies-Bouldin index:, 1.466945, 
iterations ,300,: Average distance in clusters:, 0.138721, Average distance between clusters:, 0.192355, Davies-Bouldin index:, 1.442339, 
iterations ,300,: Average distance in clusters:, 0.169862, Average distance between clusters:, 0.231014, Davies-Bouldin index:, 1.470578, 
iterations ,300,: Average distance in clusters:, 0.203800, Average distance between clusters:, 0.136539, Davies-Bouldin index:, 2.985224, 
iterations ,300,: Average distance in clusters:, 0.161800, Average distance between clusters:, 0.219043, Davies-Bouldin index:, 1.477335, 
iterations ,300,: Average distance in clusters:, 0.165799, Average distance between clusters:, 0.226899, Davies-Bouldin index:, 1.461431, 
iterations ,300,: Average distance in clusters:, 0.135870, Average distance between clusters:, 0.011916, Davies-Bouldin index:, 22.804879, 
iterations ,300,: Average distance in clusters:, 0.158592, Average distance between clusters:, 0.120335, Davies-Bouldin index:, 2.635854, 
iterations ,300,: Average distance in clusters:, 0.171316, Average distance between clusters:, 2.864128, Davies-Bouldin index:, 0.119629, 
iterations ,300,: Average distance in clusters:, 0.162842, Average distance between clusters:, 0.122502, Davies-Bouldin index:, 2.658596, 
iterations ,300,: Average distance in clusters:, 0.135772, Average distance between clusters:, 0.182694, Davies-Bouldin index:, 1.486330, 
iterations ,300,: Average distance in clusters:, 0.142969, Average distance between clusters:, 0.200408, Davies-Bouldin index:, 1.426780, 
iterations ,300,: Average distance in clusters:, 0.115366, Average distance between clusters:, 0.084205, Davies-Bouldin index:, 2.740104, 
iterations ,300,: Average distance in clusters:, 0.184789, Average distance between clusters:, 0.248146, Davies-Bouldin index:, 1.489360, 
iterations ,300,: Average distance in clusters:, 0.127848, Average distance between clusters:, 0.422354, Davies-Bouldin index:, 0.605408, 
iterations ,300,: Average distance in clusters:, 0.150893, Average distance between clusters:, 0.206901, Davies-Bouldin index:, 1.458600, 
iterations ,300,: Average distance in clusters:, 0.150686, Average distance between clusters:, 0.208415, Davies-Bouldin index:, 1.446018, 
iterations ,300,: Average distance in clusters:, 0.130719, Average distance between clusters:, 0.149885, Davies-Bouldin index:, 1.744251, 
iterations ,300,: Average distance in clusters:, 0.138355, Average distance between clusters:, 0.019464, Davies-Bouldin index:, 14.216257, 
iterations ,300,: Average distance in clusters:, 0.187379, Average distance between clusters:, 0.253943, Davies-Bouldin index:, 1.475759, 
iterations ,300,: Average distance in clusters:, 0.171123, Average distance between clusters:, 0.233935, Davies-Bouldin index:, 1.462992, 
iterations ,300,: Average distance in clusters:, 0.163770, Average distance between clusters:, 0.220485, Davies-Bouldin index:, 1.485546, 
iterations ,300,: Average distance in clusters:, 0.142122, Average distance between clusters:, 0.276380, Davies-Bouldin index:, 1.028455, 
iterations ,300,: Average distance in clusters:, 0.155006, Average distance between clusters:, 1.522380, Davies-Bouldin index:, 0.203637, 
iterations ,300,: Average distance in clusters:, 0.125862, Average distance between clusters:, 0.017089, Davies-Bouldin index:, 14.730248, 
iterations ,300,: Average distance in clusters:, 0.154856, Average distance between clusters:, 0.168266, Davies-Bouldin index:, 1.840606, 
iterations ,300,: Average distance in clusters:, 0.157713, Average distance between clusters:, 0.192518, Davies-Bouldin index:, 1.638426, 
iterations ,300,: Average distance in clusters:, 0.140552, Average distance between clusters:, 0.087820, Davies-Bouldin index:, 3.200894, 
iterations ,300,: Average distance in clusters:, 0.164984, Average distance between clusters:, 0.384777, Davies-Bouldin index:, 0.857559, 
iterations ,300,: Average distance in clusters:, 0.152605, Average distance between clusters:, 0.205775, Davies-Bouldin index:, 1.483221, 
iterations ,300,: Average distance in clusters:, 0.153761, Average distance between clusters:, 0.210427, Davies-Bouldin index:, 1.461419, 
iterations ,300,: Average distance in clusters:, 0.141070, Average distance between clusters:, 0.193457, Davies-Bouldin index:, 1.458411, 
iterations ,300,: Average distance in clusters:, 0.150360, Average distance between clusters:, 0.287413, Davies-Bouldin index:, 1.046300, 
iterations ,300,: Average distance in clusters:, 0.174317, Average distance between clusters:, 0.047662, Davies-Bouldin index:, 7.314692, 
