iterations ,300,: Average distance in clusters:, 0.217194, Average distance between clusters:, 0.172802, Davies-Bouldin index:, 2.513792, 
iterations ,300,: Average distance in clusters:, 0.212557, Average distance between clusters:, 0.696732, Davies-Bouldin index:, 0.610155, 
iterations ,300,: Average distance in clusters:, 0.218450, Average distance between clusters:, 0.423891, Davies-Bouldin index:, 1.030690, 
iterations ,300,: Average distance in clusters:, 0.216892, Average distance between clusters:, 0.331771, Davies-Bouldin index:, 1.307480, 
iterations ,300,: Average distance in clusters:, 0.416369, Average distance between clusters:, 0.245911, Davies-Bouldin index:, 3.386341, 
iterations ,300,: Average distance in clusters:, 0.210502, Average distance between clusters:, 0.273212, Davies-Bouldin index:, 1.540944, 
iterations ,300,: Average distance in clusters:, 0.216128, Average distance between clusters:, 0.356545, Davies-Bouldin index:, 1.212348, 
iterations ,300,: Average distance in clusters:, 0.218464, Average distance between clusters:, 0.572091, Davies-Bouldin index:, 0.763739, 
iterations ,300,: Average distance in clusters:, 0.302974, Average distance between clusters:, 0.365060, Davies-Bouldin index:, 1.659858, 
iterations ,300,: Average distance in clusters:, 0.274664, Average distance between clusters:, 0.322460, Davies-Bouldin index:, 1.703555, 
iterations ,300,: Average distance in clusters:, 0.214899, Average distance between clusters:, 0.378310, Davies-Bouldin index:, 1.136097, 
iterations ,300,: Average distance in clusters:, 0.268172, Average distance between clusters:, 0.257129, Davies-Bouldin index:, 2.085893, 
iterations ,300,: Average distance in clusters:, 0.214088, Average distance between clusters:, 0.254267, Davies-Bouldin index:, 1.683963, 
iterations ,300,: Average distance in clusters:, 0.212611, Average distance between clusters:, 0.445503, Davies-Bouldin index:, 0.954477, 
iterations ,300,: Average distance in clusters:, 0.215705, Average distance between clusters:, 0.384772, Davies-Bouldin index:, 1.121211, 
iterations ,300,: Average distance in clusters:, 0.218215, Average distance between clusters:, 0.242924, Davies-Bouldin index:, 1.796566, 
iterations ,300,: Average distance in clusters:, 0.208737, Average distance between clusters:, 0.447231, Davies-Bouldin index:, 0.933465, 
iterations ,300,: Average distance in clusters:, 0.212050, Average distance between clusters:, 0.251731, Davies-Bouldin index:, 1.684733, 
iterations ,300,: Average distance in clusters:, 0.216997, Average distance between clusters:, 0.396221, Davies-Bouldin index:, 1.095335, 
iterations ,300,: Average distance in clusters:, 0.212775, Average distance between clusters:, 0.402500, Davies-Bouldin index:, 1.057269, 
iterations ,300,: Average distance in clusters:, 0.214415, Average distance between clusters:, 0.247834, Davies-Bouldin index:, 1.730318, 
iterations ,300,: Average distance in clusters:, 0.220486, Average distance between clusters:, 1.077679, Davies-Bouldin index:, 0.409187, 
iterations ,300,: Average distance in clusters:, 0.213514, Average distance between clusters:, 0.394960, Davies-Bouldin index:, 1.081192, 
iterations ,300,: Average distance in clusters:, 0.211495, Average distance between clusters:, 0.286445, Davies-Bouldin index:, 1.476690, 
iterations ,300,: Average distance in clusters:, 0.227298, Average distance between clusters:, 0.311952, Davies-Bouldin index:, 1.457266, 
iterations ,300,: Average distance in clusters:, 0.219453, Average distance between clusters:, 0.283751, Davies-Bouldin index:, 1.546800, 
