iterations ,300,: Average distance in clusters:, 0.720256, Average distance between clusters:, 0.955857, Davies-Bouldin index:, 1.507038, 
iterations ,300,: Average distance in clusters:, 0.704791, Average distance between clusters:, 2.589786, Davies-Bouldin index:, 0.544285, 
iterations ,300,: Average distance in clusters:, 1.254070, Average distance between clusters:, 0.586721, Davies-Bouldin index:, 4.274840, 
iterations ,300,: Average distance in clusters:, 0.684003, Average distance between clusters:, 1.051448, Davies-Bouldin index:, 1.301068, 
iterations ,300,: Average distance in clusters:, 0.704388, Average distance between clusters:, 1.542867, Davies-Bouldin index:, 0.913090, 
iterations ,300,: Average distance in clusters:, 0.709961, Average distance between clusters:, 1.819597, Davies-Bouldin index:, 0.780350, 
iterations ,300,: Average distance in clusters:, 0.690138, Average distance between clusters:, 0.581737, Davies-Bouldin index:, 2.372681, 
iterations ,300,: Average distance in clusters:, 0.829674, Average distance between clusters:, 0.831522, Davies-Bouldin index:, 1.995557, 
iterations ,300,: Average distance in clusters:, 0.695483, Average distance between clusters:, 1.669879, Davies-Bouldin index:, 0.832974, 
iterations ,300,: Average distance in clusters:, 0.692099, Average distance between clusters:, 1.014786, Davies-Bouldin index:, 1.364029, 
iterations ,300,: Average distance in clusters:, 0.712428, Average distance between clusters:, 1.564871, Davies-Bouldin index:, 0.910527, 
iterations ,300,: Average distance in clusters:, 0.708936, Average distance between clusters:, 0.936884, Davies-Bouldin index:, 1.513391, 
iterations ,300,: Average distance in clusters:, 0.704818, Average distance between clusters:, 1.174953, Davies-Bouldin index:, 1.199738, 
iterations ,300,: Average distance in clusters:, 0.693460, Average distance between clusters:, 1.193170, Davies-Bouldin index:, 1.162382, 
iterations ,300,: Average distance in clusters:, 0.715956, Average distance between clusters:, 1.798818, Davies-Bouldin index:, 0.796029, 
iterations ,300,: Average distance in clusters:, 0.708096, Average distance between clusters:, 0.382532, Davies-Bouldin index:, 3.702149, 
iterations ,300,: Average distance in clusters:, 1.428557, Average distance between clusters:, 0.735842, Davies-Bouldin index:, 3.882784, 
iterations ,300,: Average distance in clusters:, 0.700468, Average distance between clusters:, 1.732391, Davies-Bouldin index:, 0.808672, 
iterations ,300,: Average distance in clusters:, 0.683072, Average distance between clusters:, 0.875455, Davies-Bouldin index:, 1.560495, 
iterations ,300,: Average distance in clusters:, 0.698004, Average distance between clusters:, 2.439466, Davies-Bouldin index:, 0.572260, 
iterations ,300,: Average distance in clusters:, 0.693039, Average distance between clusters:, 1.092520, Davies-Bouldin index:, 1.268698, 
iterations ,300,: Average distance in clusters:, 0.688151, Average distance between clusters:, 1.858655, Davies-Bouldin index:, 0.740483, 
iterations ,300,: Average distance in clusters:, 1.299343, Average distance between clusters:, 0.996228, Davies-Bouldin index:, 2.608524, 
iterations ,300,: Average distance in clusters:, 0.681983, Average distance between clusters:, 2.391258, Davies-Bouldin index:, 0.570397, 
iterations ,300,: Average distance in clusters:, 0.699285, Average distance between clusters:, 0.438428, Davies-Bouldin index:, 3.189968, 
iterations ,300,: Average distance in clusters:, 1.339811, Average distance between clusters:, 0.459484, Davies-Bouldin index:, 5.831813, 
iterations ,300,: Average distance in clusters:, 0.693657, Average distance between clusters:, 1.751279, Davies-Bouldin index:, 0.792172, 
iterations ,300,: Average distance in clusters:, 0.707097, Average distance between clusters:, 1.465625, Davies-Bouldin index:, 0.964909, 
iterations ,300,: Average distance in clusters:, 0.694589, Average distance between clusters:, 1.571002, Davies-Bouldin index:, 0.884263, 
iterations ,300,: Average distance in clusters:, 1.262938, Average distance between clusters:, 1.438013, Davies-Bouldin index:, 1.756505, 
iterations ,300,: Average distance in clusters:, 0.697119, Average distance between clusters:, 2.090857, Davies-Bouldin index:, 0.666826, 
iterations ,300,: Average distance in clusters:, 0.721151, Average distance between clusters:, 2.224729, Davies-Bouldin index:, 0.648305, 
iterations ,300,: Average distance in clusters:, 0.692260, Average distance between clusters:, 1.753608, Davies-Bouldin index:, 0.789526, 
iterations ,300,: Average distance in clusters:, 0.695763, Average distance between clusters:, 2.176873, Davies-Bouldin index:, 0.639232, 
iterations ,300,: Average distance in clusters:, 0.677974, Average distance between clusters:, 1.070647, Davies-Bouldin index:, 1.266476, 
iterations ,300,: Average distance in clusters:, 0.702877, Average distance between clusters:, 3.138425, Davies-Bouldin index:, 0.447917, 
iterations ,300,: Average distance in clusters:, 1.288269, Average distance between clusters:, 0.935408, Davies-Bouldin index:, 2.754455, 
iterations ,300,: Average distance in clusters:, 0.701900, Average distance between clusters:, 1.073966, Davies-Bouldin index:, 1.307118, 
iterations ,300,: Average distance in clusters:, 0.708328, Average distance between clusters:, 0.803038, Davies-Bouldin index:, 1.764122, 
iterations ,300,: Average distance in clusters:, 0.698200, Average distance between clusters:, 2.142131, Davies-Bouldin index:, 0.651874, 
iterations ,300,: Average distance in clusters:, 0.685420, Average distance between clusters:, 2.151313, Davies-Bouldin index:, 0.637211, 
iterations ,300,: Average distance in clusters:, 0.698013, Average distance between clusters:, 1.191981, Davies-Bouldin index:, 1.171181, 
iterations ,300,: Average distance in clusters:, 1.243243, Average distance between clusters:, 0.642241, Davies-Bouldin index:, 3.871579, 
iterations ,300,: Average distance in clusters:, 0.700538, Average distance between clusters:, 0.966112, Davies-Bouldin index:, 1.450220, 
iterations ,300,: Average distance in clusters:, 0.684899, Average distance between clusters:, 0.670695, Davies-Bouldin index:, 2.042356, 
iterations ,300,: Average distance in clusters:, 0.696742, Average distance between clusters:, 1.091642, Davies-Bouldin index:, 1.276503, 
iterations ,300,: Average distance in clusters:, 1.007689, Average distance between clusters:, 0.971509, Davies-Bouldin index:, 2.074484, 
iterations ,300,: Average distance in clusters:, 0.691851, Average distance between clusters:, 1.449133, Davies-Bouldin index:, 0.954848, 
iterations ,300,: Average distance in clusters:, 1.246702, Average distance between clusters:, 0.695442, Davies-Bouldin index:, 3.585351, 
iterations ,300,: Average distance in clusters:, 0.697877, Average distance between clusters:, 1.141733, Davies-Bouldin index:, 1.222488, 
iterations ,300,: Average distance in clusters:, 1.498450, Average distance between clusters:, 1.828143, Davies-Bouldin index:, 1.639314, 
iterations ,300,: Average distance in clusters:, 0.704272, Average distance between clusters:, 0.618241, Davies-Bouldin index:, 2.278307, 
iterations ,300,: Average distance in clusters:, 0.709215, Average distance between clusters:, 1.233865, Davies-Bouldin index:, 1.149583, 
iterations ,300,: Average distance in clusters:, 0.692470, Average distance between clusters:, 1.384031, Davies-Bouldin index:, 1.000657, 
iterations ,300,: Average distance in clusters:, 0.693177, Average distance between clusters:, 0.566944, Davies-Bouldin index:, 2.445310, 
iterations ,300,: Average distance in clusters:, 0.690105, Average distance between clusters:, 1.932949, Davies-Bouldin index:, 0.714044, 
