iterations ,300,: Average distance in clusters:, 0.100303, Average distance between clusters:, 0.520016, Davies-Bouldin index:, 0.938324, 
iterations ,300,: Average distance in clusters:, 0.160070, Average distance between clusters:, 0.573101, Davies-Bouldin index:, 1.683862, 
iterations ,300,: Average distance in clusters:, 0.209615, Average distance between clusters:, 0.619015, Davies-Bouldin index:, 2.274214, 
iterations ,300,: Average distance in clusters:, 0.102562, Average distance between clusters:, 0.560974, Davies-Bouldin index:, 1.215100, 
iterations ,300,: Average distance in clusters:, 0.100432, Average distance between clusters:, 0.721375, Davies-Bouldin index:, 0.864559, 
iterations ,300,: Average distance in clusters:, 0.362908, Average distance between clusters:, 0.593048, Davies-Bouldin index:, 3.485323, 
iterations ,300,: Average distance in clusters:, 0.102411, Average distance between clusters:, 0.475303, Davies-Bouldin index:, 1.659758, 
iterations ,300,: Average distance in clusters:, 0.100831, Average distance between clusters:, 0.651641, Davies-Bouldin index:, 0.992407, 
iterations ,300,: Average distance in clusters:, 0.267652, Average distance between clusters:, 0.532785, Davies-Bouldin index:, 2.594738, 
iterations ,300,: Average distance in clusters:, 0.172640, Average distance between clusters:, 0.519803, Davies-Bouldin index:, 1.857712, 
iterations ,300,: Average distance in clusters:, 0.100547, Average distance between clusters:, 0.601282, Davies-Bouldin index:, 1.120733, 
iterations ,300,: Average distance in clusters:, 0.101240, Average distance between clusters:, 0.672325, Davies-Bouldin index:, 1.002793, 
iterations ,300,: Average distance in clusters:, 0.152119, Average distance between clusters:, 0.442049, Davies-Bouldin index:, 1.789879, 
iterations ,300,: Average distance in clusters:, 0.158396, Average distance between clusters:, 0.741277, Davies-Bouldin index:, 1.131263, 
iterations ,300,: Average distance in clusters:, 0.223929, Average distance between clusters:, 0.623603, Davies-Bouldin index:, 2.672174, 
iterations ,300,: Average distance in clusters:, 0.101654, Average distance between clusters:, 0.471762, Davies-Bouldin index:, 1.152689, 
iterations ,300,: Average distance in clusters:, 0.278395, Average distance between clusters:, 0.520952, Davies-Bouldin index:, 2.770023, 
iterations ,300,: Average distance in clusters:, 0.143920, Average distance between clusters:, 0.817050, Davies-Bouldin index:, 1.174513, 
iterations ,300,: Average distance in clusters:, 0.101619, Average distance between clusters:, 0.579104, Davies-Bouldin index:, 1.449555, 
iterations ,300,: Average distance in clusters:, 0.101053, Average distance between clusters:, 0.708316, Davies-Bouldin index:, 0.952844, 
iterations ,300,: Average distance in clusters:, 0.176741, Average distance between clusters:, 0.569800, Davies-Bouldin index:, 1.890265, 
iterations ,300,: Average distance in clusters:, 0.147775, Average distance between clusters:, 0.752550, Davies-Bouldin index:, 1.163078, 
iterations ,300,: Average distance in clusters:, 0.199871, Average distance between clusters:, 0.599567, Davies-Bouldin index:, 1.609027, 
iterations ,300,: Average distance in clusters:, 0.314913, Average distance between clusters:, 0.446327, Davies-Bouldin index:, 3.238565, 
iterations ,300,: Average distance in clusters:, 0.170086, Average distance between clusters:, 0.723300, Davies-Bouldin index:, 1.359665, 
iterations ,300,: Average distance in clusters:, 0.101123, Average distance between clusters:, 0.558744, Davies-Bouldin index:, 1.371277, 
iterations ,300,: Average distance in clusters:, 0.100702, Average distance between clusters:, 0.756068, Davies-Bouldin index:, 0.935149, 
iterations ,300,: Average distance in clusters:, 0.100484, Average distance between clusters:, 0.653496, Davies-Bouldin index:, 1.366352, 
iterations ,300,: Average distance in clusters:, 0.101872, Average distance between clusters:, 0.611407, Davies-Bouldin index:, 1.282486, 
iterations ,300,: Average distance in clusters:, 0.171818, Average distance between clusters:, 0.433891, Davies-Bouldin index:, 1.895535, 
iterations ,300,: Average distance in clusters:, 0.101472, Average distance between clusters:, 0.525307, Davies-Bouldin index:, 1.138366, 
iterations ,300,: Average distance in clusters:, 0.100971, Average distance between clusters:, 0.448948, Davies-Bouldin index:, 1.894811, 
iterations ,300,: Average distance in clusters:, 0.299342, Average distance between clusters:, 0.463911, Davies-Bouldin index:, 2.524274, 
iterations ,300,: Average distance in clusters:, 0.101704, Average distance between clusters:, 0.528035, Davies-Bouldin index:, 1.035033, 
iterations ,300,: Average distance in clusters:, 0.100896, Average distance between clusters:, 0.540927, Davies-Bouldin index:, 1.260793, 
