Competitive cluster ,0: Average distance in clusters:, 0.833405, Average distance between clusters:, 0.029691, Davies-Bouldin index:, 62.064956, 
Competitive cluster ,0: Average distance in clusters:, 0.833426, Average distance between clusters:, 0.027826, Davies-Bouldin index:, 73.490527, 
Competitive cluster ,0: Average distance in clusters:, 0.833501, Average distance between clusters:, 0.022468, Davies-Bouldin index:, 88.167482, 
Competitive cluster ,0: Average distance in clusters:, 0.833440, Average distance between clusters:, 0.025721, Davies-Bouldin index:, 103.178416, 
Competitive cluster ,0: Average distance in clusters:, 0.833495, Average distance between clusters:, 0.024102, Davies-Bouldin index:, 81.331553, 
Competitive cluster ,0: Average distance in clusters:, 0.833471, Average distance between clusters:, 0.023243, Davies-Bouldin index:, 106.156549, 
Competitive cluster ,0: Average distance in clusters:, 0.833474, Average distance between clusters:, 0.022052, Davies-Bouldin index:, 86.003965, 
Competitive cluster ,0: Average distance in clusters:, 0.833456, Average distance between clusters:, 0.025894, Davies-Bouldin index:, 78.658252, 
Competitive cluster ,0: Average distance in clusters:, 0.833494, Average distance between clusters:, 0.022020, Davies-Bouldin index:, 81.248006, 
Competitive cluster ,0: Average distance in clusters:, 0.833511, Average distance between clusters:, 0.024507, Davies-Bouldin index:, 75.895559, 
Competitive cluster ,0: Average distance in clusters:, 0.833473, Average distance between clusters:, 0.025738, Davies-Bouldin index:, 66.491266, 
Competitive cluster ,0: Average distance in clusters:, 0.833520, Average distance between clusters:, 0.025360, Davies-Bouldin index:, 75.114773, 
Competitive cluster ,0: Average distance in clusters:, 0.833473, Average distance between clusters:, 0.026410, Davies-Bouldin index:, 81.636782, 
Competitive cluster ,0: Average distance in clusters:, 0.833526, Average distance between clusters:, 0.018615, Davies-Bouldin index:, 105.811885, 
Competitive cluster ,0: Average distance in clusters:, 0.833489, Average distance between clusters:, 0.020500, Davies-Bouldin index:, 94.223196, 
Competitive cluster ,0: Average distance in clusters:, 0.833503, Average distance between clusters:, 0.021098, Davies-Bouldin index:, 85.701411, 
Competitive cluster ,0: Average distance in clusters:, 0.833414, Average distance between clusters:, 0.028716, Davies-Bouldin index:, 63.832341, 
Competitive cluster ,0: Average distance in clusters:, 0.833460, Average distance between clusters:, 0.026247, Davies-Bouldin index:, 85.111696, 
Competitive cluster ,0: Average distance in clusters:, 0.833513, Average distance between clusters:, 0.023103, Davies-Bouldin index:, 82.622619, 
Competitive cluster ,0: Average distance in clusters:, 0.833522, Average distance between clusters:, 0.019664, Davies-Bouldin index:, 88.837965, 
Competitive cluster ,0: Average distance in clusters:, 0.833500, Average distance between clusters:, 0.020469, Davies-Bouldin index:, 87.324476, 
Competitive cluster ,0: Average distance in clusters:, 0.833453, Average distance between clusters:, 0.025884, Davies-Bouldin index:, 79.501686, 
Competitive cluster ,0: Average distance in clusters:, 0.833511, Average distance between clusters:, 0.021684, Davies-Bouldin index:, 108.463961, 
Competitive cluster ,0: Average distance in clusters:, 0.833502, Average distance between clusters:, 0.023139, Davies-Bouldin index:, 81.983848, 
Competitive cluster ,0: Average distance in clusters:, 0.833459, Average distance between clusters:, 0.029497, Davies-Bouldin index:, 73.817110, 
Competitive cluster ,0: Average distance in clusters:, 0.833470, Average distance between clusters:, 0.026827, Davies-Bouldin index:, 72.813293, 
Competitive cluster ,0: Average distance in clusters:, 0.833520, Average distance between clusters:, 0.021484, Davies-Bouldin index:, 84.925211, 
Competitive cluster ,0: Average distance in clusters:, 0.833485, Average distance between clusters:, 0.022648, Davies-Bouldin index:, 78.874962, 
Competitive cluster ,0: Average distance in clusters:, 0.833509, Average distance between clusters:, 0.020594, Davies-Bouldin index:, 96.445406, 
Competitive cluster ,0: Average distance in clusters:, 0.833503, Average distance between clusters:, 0.021761, Davies-Bouldin index:, 89.337412, 
Competitive cluster ,0: Average distance in clusters:, 0.833469, Average distance between clusters:, 0.028228, Davies-Bouldin index:, 71.151644, 
Competitive cluster ,0: Average distance in clusters:, 0.833493, Average distance between clusters:, 0.021236, Davies-Bouldin index:, 84.631899, 
