Competitive cluster ,0: Average distance in clusters:, 1.218725, Average distance between clusters:, 0.164794, Davies-Bouldin index:, 14.790890, 
Competitive cluster ,0: Average distance in clusters:, 1.217412, Average distance between clusters:, 0.197807, Davies-Bouldin index:, 12.309102, 
Competitive cluster ,0: Average distance in clusters:, 1.219431, Average distance between clusters:, 0.148673, Davies-Bouldin index:, 16.404204, 
Competitive cluster ,0: Average distance in clusters:, 1.220859, Average distance between clusters:, 0.080706, Davies-Bouldin index:, 30.254445, 
Competitive cluster ,0: Average distance in clusters:, 1.219857, Average distance between clusters:, 0.127280, Davies-Bouldin index:, 19.168036, 
Competitive cluster ,0: Average distance in clusters:, 1.219664, Average distance between clusters:, 0.135086, Davies-Bouldin index:, 18.057657, 
Competitive cluster ,0: Average distance in clusters:, 1.219610, Average distance between clusters:, 0.142439, Davies-Bouldin index:, 17.124673, 
Competitive cluster ,0: Average distance in clusters:, 1.218320, Average distance between clusters:, 0.179365, Davies-Bouldin index:, 13.584798, 
Competitive cluster ,0: Average distance in clusters:, 1.219289, Average distance between clusters:, 0.147851, Davies-Bouldin index:, 16.493444, 
Competitive cluster ,0: Average distance in clusters:, 1.219321, Average distance between clusters:, 0.144005, Davies-Bouldin index:, 16.934389, 
Competitive cluster ,0: Average distance in clusters:, 1.218994, Average distance between clusters:, 0.160310, Davies-Bouldin index:, 15.207962, 
Competitive cluster ,0: Average distance in clusters:, 1.218301, Average distance between clusters:, 0.181991, Davies-Bouldin index:, 13.388562, 
Competitive cluster ,0: Average distance in clusters:, 1.220641, Average distance between clusters:, 0.096196, Davies-Bouldin index:, 25.378100, 
Competitive cluster ,0: Average distance in clusters:, 1.220521, Average distance between clusters:, 0.098390, Davies-Bouldin index:, 24.809753, 
Competitive cluster ,0: Average distance in clusters:, 1.218585, Average distance between clusters:, 0.165430, Davies-Bouldin index:, 14.732366, 
Competitive cluster ,0: Average distance in clusters:, 1.217323, Average distance between clusters:, 0.200201, Davies-Bouldin index:, 12.160981, 
Competitive cluster ,0: Average distance in clusters:, 1.220816, Average distance between clusters:, 0.092526, Davies-Bouldin index:, 26.388729, 
Competitive cluster ,0: Average distance in clusters:, 1.217260, Average distance between clusters:, 0.204231, Davies-Bouldin index:, 11.920425, 
Competitive cluster ,0: Average distance in clusters:, 1.219258, Average distance between clusters:, 0.147988, Davies-Bouldin index:, 16.477758, 
Competitive cluster ,0: Average distance in clusters:, 1.220898, Average distance between clusters:, 0.087029, Davies-Bouldin index:, 28.057261, 
Competitive cluster ,0: Average distance in clusters:, 1.218808, Average distance between clusters:, 0.167476, Davies-Bouldin index:, 14.555036, 
Competitive cluster ,0: Average distance in clusters:, 1.219696, Average distance between clusters:, 0.136592, Davies-Bouldin index:, 17.858925, 
Competitive cluster ,0: Average distance in clusters:, 1.217897, Average distance between clusters:, 0.189041, Davies-Bouldin index:, 12.885033, 
Competitive cluster ,0: Average distance in clusters:, 1.219389, Average distance between clusters:, 0.147682, Davies-Bouldin index:, 16.513720, 
Competitive cluster ,0: Average distance in clusters:, 1.218762, Average distance between clusters:, 0.164413, Davies-Bouldin index:, 14.825586, 
Competitive cluster ,0: Average distance in clusters:, 1.218400, Average distance between clusters:, 0.173532, Davies-Bouldin index:, 14.042396, 
Competitive cluster ,0: Average distance in clusters:, 1.218310, Average distance between clusters:, 0.177079, Davies-Bouldin index:, 13.760070, 
Competitive cluster ,0: Average distance in clusters:, 1.220097, Average distance between clusters:, 0.122319, Davies-Bouldin index:, 19.949473, 
Competitive cluster ,0: Average distance in clusters:, 1.219118, Average distance between clusters:, 0.158048, Davies-Bouldin index:, 15.427159, 
Competitive cluster ,0: Average distance in clusters:, 1.218550, Average distance between clusters:, 0.172690, Davies-Bouldin index:, 14.112581, 
Competitive cluster ,0: Average distance in clusters:, 1.218444, Average distance between clusters:, 0.175164, Davies-Bouldin index:, 13.912066, 
Competitive cluster ,0: Average distance in clusters:, 1.218136, Average distance between clusters:, 0.182982, Davies-Bouldin index:, 13.314246, 
Competitive cluster ,0: Average distance in clusters:, 1.219470, Average distance between clusters:, 0.142417, Davies-Bouldin index:, 17.125329, 
Competitive cluster ,0: Average distance in clusters:, 1.218999, Average distance between clusters:, 0.157890, Davies-Bouldin index:, 15.441095, 
Competitive cluster ,0: Average distance in clusters:, 1.220521, Average distance between clusters:, 0.099591, Davies-Bouldin index:, 24.510659, 
Competitive cluster ,0: Average distance in clusters:, 1.218451, Average distance between clusters:, 0.174360, Davies-Bouldin index:, 13.976287, 
Competitive cluster ,0: Average distance in clusters:, 1.219287, Average distance between clusters:, 0.153962, Davies-Bouldin index:, 15.838837, 
Competitive cluster ,0: Average distance in clusters:, 1.220369, Average distance between clusters:, 0.108839, Davies-Bouldin index:, 22.425166, 
Competitive cluster ,0: Average distance in clusters:, 1.219367, Average distance between clusters:, 0.146497, Davies-Bouldin index:, 16.646987, 
Competitive cluster ,0: Average distance in clusters:, 1.219001, Average distance between clusters:, 0.159345, Davies-Bouldin index:, 15.300110, 
Competitive cluster ,0: Average distance in clusters:, 1.219641, Average distance between clusters:, 0.136585, Davies-Bouldin index:, 17.859036, 
Competitive cluster ,0: Average distance in clusters:, 1.217456, Average distance between clusters:, 0.199702, Davies-Bouldin index:, 12.192712, 
Competitive cluster ,0: Average distance in clusters:, 1.218722, Average distance between clusters:, 0.168684, Davies-Bouldin index:, 14.449776, 
Competitive cluster ,0: Average distance in clusters:, 1.220494, Average distance between clusters:, 0.098652, Davies-Bouldin index:, 24.743414, 
Competitive cluster ,0: Average distance in clusters:, 1.220980, Average distance between clusters:, 0.080302, Davies-Bouldin index:, 30.409541, 
Competitive cluster ,0: Average distance in clusters:, 1.219761, Average distance between clusters:, 0.134985, Davies-Bouldin index:, 18.072487, 
Competitive cluster ,0: Average distance in clusters:, 1.217635, Average distance between clusters:, 0.194349, Davies-Bouldin index:, 12.530371, 
Competitive cluster ,0: Average distance in clusters:, 1.218153, Average distance between clusters:, 0.182749, Davies-Bouldin index:, 13.331399, 
Competitive cluster ,0: Average distance in clusters:, 1.218796, Average distance between clusters:, 0.163564, Davies-Bouldin index:, 14.902988, 
Competitive cluster ,0: Average distance in clusters:, 1.217267, Average distance between clusters:, 0.205258, Davies-Bouldin index:, 11.860826, 
Competitive cluster ,0: Average distance in clusters:, 1.219317, Average distance between clusters:, 0.149380, Davies-Bouldin index:, 16.325092, 
Competitive cluster ,0: Average distance in clusters:, 1.219062, Average distance between clusters:, 0.156190, Davies-Bouldin index:, 15.610014, 
Competitive cluster ,0: Average distance in clusters:, 1.218891, Average distance between clusters:, 0.164029, Davies-Bouldin index:, 14.861863, 
Competitive cluster ,0: Average distance in clusters:, 1.218000, Average distance between clusters:, 0.184335, Davies-Bouldin index:, 13.215101, 
Competitive cluster ,0: Average distance in clusters:, 1.217407, Average distance between clusters:, 0.200290, Davies-Bouldin index:, 12.156459, 
Competitive cluster ,0: Average distance in clusters:, 1.219419, Average distance between clusters:, 0.147669, Davies-Bouldin index:, 16.515617, 
Competitive cluster ,0: Average distance in clusters:, 1.219247, Average distance between clusters:, 0.152241, Davies-Bouldin index:, 16.017380, 
Competitive cluster ,0: Average distance in clusters:, 1.220452, Average distance between clusters:, 0.109683, Davies-Bouldin index:, 22.254101, 
Competitive cluster ,0: Average distance in clusters:, 1.220314, Average distance between clusters:, 0.124597, Davies-Bouldin index:, 19.588119, 
Competitive cluster ,0: Average distance in clusters:, 1.218545, Average distance between clusters:, 0.173850, Davies-Bouldin index:, 14.018344, 
Competitive cluster ,0: Average distance in clusters:, 1.219800, Average distance between clusters:, 0.129884, Davies-Bouldin index:, 18.782957, 
Competitive cluster ,0: Average distance in clusters:, 1.219643, Average distance between clusters:, 0.139219, Davies-Bouldin index:, 17.521187, 
Competitive cluster ,0: Average distance in clusters:, 1.217916, Average distance between clusters:, 0.188949, Davies-Bouldin index:, 12.891471, 
Competitive cluster ,0: Average distance in clusters:, 1.218648, Average distance between clusters:, 0.165131, Davies-Bouldin index:, 14.759813, 
Competitive cluster ,0: Average distance in clusters:, 1.218337, Average distance between clusters:, 0.176495, Davies-Bouldin index:, 13.805885, 
Competitive cluster ,0: Average distance in clusters:, 1.219223, Average distance between clusters:, 0.154472, Davies-Bouldin index:, 15.785634, 
