Competitive cluster ,0: Average distance in clusters:, 0.413393, Average distance between clusters:, 0.207151, Davies-Bouldin index:, 8.401237, 
Competitive cluster ,0: Average distance in clusters:, 0.414276, Average distance between clusters:, 0.188483, Davies-Bouldin index:, 17.322673, 
Competitive cluster ,0: Average distance in clusters:, 0.392286, Average distance between clusters:, 0.252239, Davies-Bouldin index:, 8.637094, 
Competitive cluster ,0: Average distance in clusters:, 0.398800, Average distance between clusters:, 0.241900, Davies-Bouldin index:, 12.086558, 
Competitive cluster ,0: Average distance in clusters:, 0.402791, Average distance between clusters:, 0.230969, Davies-Bouldin index:, 8.987552, 
Competitive cluster ,0: Average distance in clusters:, 0.410568, Average distance between clusters:, 0.214200, Davies-Bouldin index:, 10.213201, 
Competitive cluster ,0: Average distance in clusters:, 0.412301, Average distance between clusters:, 0.195303, Davies-Bouldin index:, 11.928447, 
Competitive cluster ,0: Average distance in clusters:, 0.406916, Average distance between clusters:, 0.217059, Davies-Bouldin index:, 11.081637, 
Competitive cluster ,0: Average distance in clusters:, 0.404881, Average distance between clusters:, 0.227546, Davies-Bouldin index:, 8.202013, 
Competitive cluster ,0: Average distance in clusters:, 0.409378, Average distance between clusters:, 0.209987, Davies-Bouldin index:, 8.076444, 
Competitive cluster ,0: Average distance in clusters:, 0.407544, Average distance between clusters:, 0.217834, Davies-Bouldin index:, 10.830211, 
Competitive cluster ,0: Average distance in clusters:, 0.399890, Average distance between clusters:, 0.229339, Davies-Bouldin index:, 11.468750, 
Competitive cluster ,0: Average distance in clusters:, 0.400116, Average distance between clusters:, 0.231830, Davies-Bouldin index:, 9.891571, 
Competitive cluster ,0: Average distance in clusters:, 0.412045, Average distance between clusters:, 0.207935, Davies-Bouldin index:, 8.815299, 
Competitive cluster ,0: Average distance in clusters:, 0.412484, Average distance between clusters:, 0.205518, Davies-Bouldin index:, 11.278490, 
Competitive cluster ,0: Average distance in clusters:, 0.410932, Average distance between clusters:, 0.210820, Davies-Bouldin index:, 7.902370, 
Competitive cluster ,0: Average distance in clusters:, 0.410929, Average distance between clusters:, 0.203108, Davies-Bouldin index:, 10.654374, 
Competitive cluster ,0: Average distance in clusters:, 0.408068, Average distance between clusters:, 0.208919, Davies-Bouldin index:, 11.518357, 
Competitive cluster ,0: Average distance in clusters:, 0.408395, Average distance between clusters:, 0.212103, Davies-Bouldin index:, 10.077598, 
Competitive cluster ,0: Average distance in clusters:, 0.409220, Average distance between clusters:, 0.217135, Davies-Bouldin index:, 11.616625, 
Competitive cluster ,0: Average distance in clusters:, 0.402537, Average distance between clusters:, 0.230775, Davies-Bouldin index:, 8.047653, 
Competitive cluster ,0: Average distance in clusters:, 0.401010, Average distance between clusters:, 0.233337, Davies-Bouldin index:, 8.678538, 
Competitive cluster ,0: Average distance in clusters:, 0.408516, Average distance between clusters:, 0.213003, Davies-Bouldin index:, 9.972806, 
Competitive cluster ,0: Average distance in clusters:, 0.406334, Average distance between clusters:, 0.220417, Davies-Bouldin index:, 10.415931, 
Competitive cluster ,0: Average distance in clusters:, 0.407233, Average distance between clusters:, 0.213908, Davies-Bouldin index:, 9.811241, 
Competitive cluster ,0: Average distance in clusters:, 0.407031, Average distance between clusters:, 0.227728, Davies-Bouldin index:, 8.493138, 
Competitive cluster ,0: Average distance in clusters:, 0.404878, Average distance between clusters:, 0.229011, Davies-Bouldin index:, 7.945904, 
Competitive cluster ,0: Average distance in clusters:, 0.399892, Average distance between clusters:, 0.238031, Davies-Bouldin index:, 7.040678, 
Competitive cluster ,0: Average distance in clusters:, 0.398988, Average distance between clusters:, 0.237114, Davies-Bouldin index:, 11.972108, 
Competitive cluster ,0: Average distance in clusters:, 0.404897, Average distance between clusters:, 0.226207, Davies-Bouldin index:, 8.092674, 
Competitive cluster ,0: Average distance in clusters:, 0.395421, Average distance between clusters:, 0.252232, Davies-Bouldin index:, 10.292842, 
