Competitive cluster ,0: Average distance in clusters:, 1.014794, Average distance between clusters:, 0.601693, Davies-Bouldin index:, 3.373126, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.016804, Average distance between clusters:, 0.579421, Davies-Bouldin index:, 3.509726, 
Competitive cluster ,0: Average distance in clusters:, 1.009615, Average distance between clusters:, 0.636418, Davies-Bouldin index:, 3.172804, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.020569, Average distance between clusters:, 0.564204, Davies-Bouldin index:, 3.617728, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.055014, Average distance between clusters:, 0.264139, Davies-Bouldin index:, 7.988316, 
Competitive cluster ,0: Average distance in clusters:, 1.024539, Average distance between clusters:, 0.539438, Davies-Bouldin index:, 3.798545, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.014723, Average distance between clusters:, 0.602279, Davies-Bouldin index:, 3.369608, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.000546, Average distance between clusters:, 0.684696, Davies-Bouldin index:, 2.922596, 
Competitive cluster ,0: Average distance in clusters:, 1.050637, Average distance between clusters:, 0.328985, Davies-Bouldin index:, 6.387142, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.010901, Average distance between clusters:, 0.630687, Davies-Bouldin index:, 3.205715, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.053588, Average distance between clusters:, 0.289241, Davies-Bouldin index:, 7.285192, 
Competitive cluster ,0: Average distance in clusters:, 1.016527, Average distance between clusters:, 0.592940, Davies-Bouldin index:, 3.428765, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.020353, Average distance between clusters:, 0.561147, Davies-Bouldin index:, 3.636668, 
Competitive cluster ,0: Average distance in clusters:, 1.005487, Average distance between clusters:, 0.655015, Davies-Bouldin index:, 3.070118, 
Competitive cluster ,0: Average distance in clusters:, 1.048773, Average distance between clusters:, 0.361415, Davies-Bouldin index:, 5.803704, 
Competitive cluster ,0: Average distance in clusters:, 1.023946, Average distance between clusters:, 0.543257, Davies-Bouldin index:, 3.769658, 
Competitive cluster ,0: Average distance in clusters:, 1.011820, Average distance between clusters:, 0.624449, Davies-Bouldin index:, 3.240683, 
Competitive cluster ,0: Average distance in clusters:, 1.004053, Average distance between clusters:, 0.663826, Davies-Bouldin index:, 3.025051, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.006069, Average distance between clusters:, 0.653925, Davies-Bouldin index:, 3.077015, 
Competitive cluster ,0: Average distance in clusters:, 1.012055, Average distance between clusters:, 0.623987, Davies-Bouldin index:, 3.243836, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.043092, Average distance between clusters:, 0.389309, Davies-Bouldin index:, 5.358686, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.030213, Average distance between clusters:, 0.502531, Davies-Bouldin index:, 4.100101, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.009823, Average distance between clusters:, 0.636403, Davies-Bouldin index:, 3.173533, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.027365, Average distance between clusters:, 0.510315, Davies-Bouldin index:, 4.026395, 
Competitive cluster ,0: Average distance in clusters:, 1.026589, Average distance between clusters:, 0.525010, Davies-Bouldin index:, 3.910741, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.014723, Average distance between clusters:, 0.602279, Davies-Bouldin index:, 3.369608, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.005710, Average distance between clusters:, 0.658423, Davies-Bouldin index:, 3.054903, 
Competitive cluster ,0: Average distance in clusters:, 1.012810, Average distance between clusters:, 0.615213, Davies-Bouldin index:, 3.292553, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.017288, Average distance between clusters:, 0.574870, Davies-Bouldin index:, 3.539191, 
Competitive cluster ,0: Average distance in clusters:, 1.011208, Average distance between clusters:, 0.623585, Davies-Bouldin index:, 3.243207, 
Competitive cluster ,0: Average distance in clusters:, 1.010037, Average distance between clusters:, 0.634418, Davies-Bouldin index:, 3.184139, 
Competitive cluster ,0: Average distance in clusters:, 0.999701, Average distance between clusters:, 0.690217, Davies-Bouldin index:, 2.896773, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.009615, Average distance between clusters:, 0.636418, Davies-Bouldin index:, 3.172804, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.010037, Average distance between clusters:, 0.634418, Davies-Bouldin index:, 3.184139, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.011119, Average distance between clusters:, 0.629263, Davies-Bouldin index:, 3.213663, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
Competitive cluster ,0: Average distance in clusters:, 1.012055, Average distance between clusters:, 0.623987, Davies-Bouldin index:, 3.243836, 
Competitive cluster ,0: Average distance in clusters:, 1.010842, Average distance between clusters:, 0.631136, Davies-Bouldin index:, 3.203245, 
Competitive cluster ,0: Average distance in clusters:, 1.044333, Average distance between clusters:, 0.386441, Davies-Bouldin index:, 5.404874, 
Competitive cluster ,0: Average distance in clusters:, 1.048773, Average distance between clusters:, 0.361415, Davies-Bouldin index:, 5.803704, 
Competitive cluster ,0: Average distance in clusters:, 1.012176, Average distance between clusters:, 0.622024, Davies-Bouldin index:, 3.254461, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.010821, Average distance between clusters:, 0.625511, Davies-Bouldin index:, 3.231984, 
Competitive cluster ,0: Average distance in clusters:, 1.004551, Average distance between clusters:, 0.661087, Davies-Bouldin index:, 3.039090, 
Competitive cluster ,0: Average distance in clusters:, 1.011820, Average distance between clusters:, 0.624449, Davies-Bouldin index:, 3.240683, 
Competitive cluster ,0: Average distance in clusters:, 1.052083, Average distance between clusters:, 0.303149, Davies-Bouldin index:, 6.941043, 
Competitive cluster ,0: Average distance in clusters:, 1.054068, Average distance between clusters:, 0.273792, Davies-Bouldin index:, 7.699780, 
Competitive cluster ,0: Average distance in clusters:, 1.011146, Average distance between clusters:, 0.624055, Davies-Bouldin index:, 3.240566, 
