Competitive cluster ,0: Average distance in clusters:, 0.373782, Average distance between clusters:, 0.331228, Davies-Bouldin index:, 9.244888, 
Competitive cluster ,0: Average distance in clusters:, 0.372393, Average distance between clusters:, 0.310210, Davies-Bouldin index:, 7.885972, 
Competitive cluster ,0: Average distance in clusters:, 0.377524, Average distance between clusters:, 0.316444, Davies-Bouldin index:, 6.593513, 
Competitive cluster ,0: Average distance in clusters:, 0.372940, Average distance between clusters:, 0.326907, Davies-Bouldin index:, 9.452540, 
Competitive cluster ,0: Average distance in clusters:, 0.378427, Average distance between clusters:, 0.296486, Davies-Bouldin index:, 8.657763, 
Competitive cluster ,0: Average distance in clusters:, 0.377905, Average distance between clusters:, 0.305755, Davies-Bouldin index:, 7.897861, 
Competitive cluster ,0: Average distance in clusters:, 0.378227, Average distance between clusters:, 0.299471, Davies-Bouldin index:, 7.527704, 
Competitive cluster ,0: Average distance in clusters:, 0.379279, Average distance between clusters:, 0.288396, Davies-Bouldin index:, 8.891119, 
Competitive cluster ,0: Average distance in clusters:, 0.377806, Average distance between clusters:, 0.321938, Davies-Bouldin index:, 7.227479, 
Competitive cluster ,0: Average distance in clusters:, 0.381479, Average distance between clusters:, 0.320022, Davies-Bouldin index:, 7.863722, 
Competitive cluster ,0: Average distance in clusters:, 0.373614, Average distance between clusters:, 0.309712, Davies-Bouldin index:, 7.688600, 
Competitive cluster ,0: Average distance in clusters:, 0.376961, Average distance between clusters:, 0.300267, Davies-Bouldin index:, 7.978750, 
Competitive cluster ,0: Average distance in clusters:, 0.373882, Average distance between clusters:, 0.300025, Davies-Bouldin index:, 9.096851, 
Competitive cluster ,0: Average distance in clusters:, 0.372166, Average distance between clusters:, 0.305129, Davies-Bouldin index:, 8.448539, 
Competitive cluster ,0: Average distance in clusters:, 0.376564, Average distance between clusters:, 0.323899, Davies-Bouldin index:, 8.956774, 
Competitive cluster ,0: Average distance in clusters:, 0.373883, Average distance between clusters:, 0.322738, Davies-Bouldin index:, 6.660932, 
Competitive cluster ,0: Average distance in clusters:, 0.370012, Average distance between clusters:, 0.317415, Davies-Bouldin index:, 9.070642, 
Competitive cluster ,0: Average distance in clusters:, 0.380167, Average distance between clusters:, 0.292381, Davies-Bouldin index:, 7.844681, 
Competitive cluster ,0: Average distance in clusters:, 0.380897, Average distance between clusters:, 0.309226, Davies-Bouldin index:, 7.548537, 
Competitive cluster ,0: Average distance in clusters:, 0.373588, Average distance between clusters:, 0.336763, Davies-Bouldin index:, 5.558389, 
