Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
Competitive cluster ,0: Average distance in clusters:, 1.351571, Average distance between clusters:, 0.871825, Davies-Bouldin index:, 3.100557, 
Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
Competitive cluster ,0: Average distance in clusters:, 1.339204, Average distance between clusters:, 0.878493, Davies-Bouldin index:, 3.048867, 
Competitive cluster ,0: Average distance in clusters:, 1.335880, Average distance between clusters:, 0.899096, Davies-Bouldin index:, 2.971607, 
Competitive cluster ,0: Average distance in clusters:, 1.339204, Average distance between clusters:, 0.878493, Davies-Bouldin index:, 3.048867, 
Competitive cluster ,0: Average distance in clusters:, 1.344106, Average distance between clusters:, 0.871657, Davies-Bouldin index:, 3.084026, 
Competitive cluster ,0: Average distance in clusters:, 1.334856, Average distance between clusters:, 0.927094, Davies-Bouldin index:, 2.879658, 
Competitive cluster ,0: Average distance in clusters:, 1.339509, Average distance between clusters:, 0.916048, Davies-Bouldin index:, 2.924541, 
Competitive cluster ,0: Average distance in clusters:, 1.349602, Average distance between clusters:, 0.870381, Davies-Bouldin index:, 3.101174, 
Competitive cluster ,0: Average distance in clusters:, 1.342579, Average distance between clusters:, 0.876980, Davies-Bouldin index:, 3.061823, 
Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
Competitive cluster ,0: Average distance in clusters:, 1.350787, Average distance between clusters:, 0.831382, Davies-Bouldin index:, 3.249497, 
Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
Competitive cluster ,0: Average distance in clusters:, 1.350920, Average distance between clusters:, 0.863044, Davies-Bouldin index:, 3.130594, 
