PSO, iterations:, 300:, Average distance in clusters:, 0.992136, Average distance between clusters:, 0.511493, Davies-Bouldin index:, 4.453986, 
PSO, iterations:, 300:, Average distance in clusters:, 1.078866, Average distance between clusters:, 0.477345, Davies-Bouldin index:, 5.133303, 
PSO, iterations:, 300:, Average distance in clusters:, 1.102624, Average distance between clusters:, 0.782700, Davies-Bouldin index:, 3.416852, 
PSO, iterations:, 300:, Average distance in clusters:, 1.095878, Average distance between clusters:, 0.732463, Davies-Bouldin index:, 3.295333, 
PSO, iterations:, 300:, Average distance in clusters:, 1.137752, Average distance between clusters:, 0.652905, Davies-Bouldin index:, 3.984681, 
PSO, iterations:, 300:, Average distance in clusters:, 1.063862, Average distance between clusters:, 0.587504, Davies-Bouldin index:, 4.152865, 
PSO, iterations:, 300:, Average distance in clusters:, 1.124023, Average distance between clusters:, 0.510973, Davies-Bouldin index:, 4.506421, 
PSO, iterations:, 300:, Average distance in clusters:, 1.089597, Average distance between clusters:, 0.497853, Davies-Bouldin index:, 4.586937, 
PSO, iterations:, 300:, Average distance in clusters:, 1.075242, Average distance between clusters:, 0.399034, Davies-Bouldin index:, 6.055599, 
PSO, iterations:, 300:, Average distance in clusters:, 1.086773, Average distance between clusters:, 0.848485, Davies-Bouldin index:, 2.737817, 
PSO, iterations:, 300:, Average distance in clusters:, 1.037705, Average distance between clusters:, 0.925999, Davies-Bouldin index:, 2.609792, 
PSO, iterations:, 300:, Average distance in clusters:, 1.097125, Average distance between clusters:, 0.527003, Davies-Bouldin index:, 4.618345, 
PSO, iterations:, 300:, Average distance in clusters:, 0.971761, Average distance between clusters:, 0.672675, Davies-Bouldin index:, 3.157572, 
PSO, iterations:, 300:, Average distance in clusters:, 1.149351, Average distance between clusters:, 0.823350, Davies-Bouldin index:, 3.040677, 
PSO, iterations:, 300:, Average distance in clusters:, 0.986370, Average distance between clusters:, 0.679533, Davies-Bouldin index:, 3.112007, 
PSO, iterations:, 300:, Average distance in clusters:, 1.125360, Average distance between clusters:, 0.476099, Davies-Bouldin index:, 5.140029, 
