PSO, iterations:, 300: Average distance in clusters: 0.776940, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.852435, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.840525, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 1.329759, Average distance between clusters: 0.609338, Davies-Bouldin index: 4.364606, 
PSO, iterations:, 300: Average distance in clusters: 0.798713, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.783801, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.765765, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.831540, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.744669, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 1.315916, Average distance between clusters: 0.466048, Davies-Bouldin index: 5.647134, 
PSO, iterations:, 300: Average distance in clusters: 0.819795, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.768513, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.865297, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.744916, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.776601, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.829539, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.806792, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.868597, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.806282, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 1.307004, Average distance between clusters: 0.852778, Davies-Bouldin index: 3.065287, 
PSO, iterations:, 300: Average distance in clusters: 0.848586, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.779980, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.800923, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.831850, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.851007, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.769349, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.809602, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.814002, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.899537, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.782346, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.948765, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.785435, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.854404, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.837830, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.865696, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.897776, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.781825, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.898609, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
