PSO, iterations:, 300:, Average distance in clusters:, 1.392164, Average distance between clusters:, 1.057438, Davies-Bouldin index:, 2.633087, 
PSO, iterations:, 300:, Average distance in clusters:, 1.328803, Average distance between clusters:, 0.654467, Davies-Bouldin index:, 4.060718, 
PSO, iterations:, 300:, Average distance in clusters:, 1.488203, Average distance between clusters:, 0.591454, Davies-Bouldin index:, 5.032356, 
PSO, iterations:, 300:, Average distance in clusters:, 1.551718, Average distance between clusters:, 0.748917, Davies-Bouldin index:, 4.143899, 
PSO, iterations:, 300:, Average distance in clusters:, 1.452561, Average distance between clusters:, 0.521532, Davies-Bouldin index:, 5.570359, 
PSO, iterations:, 300:, Average distance in clusters:, 1.521248, Average distance between clusters:, 0.950637, Davies-Bouldin index:, 3.200482, 
PSO, iterations:, 300:, Average distance in clusters:, 1.415030, Average distance between clusters:, 0.578171, Davies-Bouldin index:, 4.894853, 
PSO, iterations:, 300:, Average distance in clusters:, 1.429988, Average distance between clusters:, 1.058432, Davies-Bouldin index:, 2.702087, 
PSO, iterations:, 300:, Average distance in clusters:, 1.377024, Average distance between clusters:, 0.958486, Davies-Bouldin index:, 2.873330, 
PSO, iterations:, 300:, Average distance in clusters:, 1.417457, Average distance between clusters:, 0.891418, Davies-Bouldin index:, 3.180231, 
PSO, iterations:, 300:, Average distance in clusters:, 1.359850, Average distance between clusters:, 0.982685, Davies-Bouldin index:, 2.767620, 
PSO, iterations:, 300:, Average distance in clusters:, 1.304492, Average distance between clusters:, 0.457405, Davies-Bouldin index:, 5.703880, 
PSO, iterations:, 300:, Average distance in clusters:, 1.417375, Average distance between clusters:, 0.756537, Davies-Bouldin index:, 3.747006, 
PSO, iterations:, 300:, Average distance in clusters:, 1.282534, Average distance between clusters:, 0.782296, Davies-Bouldin index:, 3.278894, 
PSO, iterations:, 300:, Average distance in clusters:, 1.312081, Average distance between clusters:, 1.501187, Davies-Bouldin index:, 1.748059, 
PSO, iterations:, 300:, Average distance in clusters:, 1.479890, Average distance between clusters:, 1.455415, Davies-Bouldin index:, 2.033632, 
PSO, iterations:, 300:, Average distance in clusters:, 1.490696, Average distance between clusters:, 0.870230, Davies-Bouldin index:, 3.425980, 
PSO, iterations:, 300:, Average distance in clusters:, 1.407143, Average distance between clusters:, 0.542784, Davies-Bouldin index:, 5.184913, 
PSO, iterations:, 300:, Average distance in clusters:, 1.541585, Average distance between clusters:, 0.913005, Davies-Bouldin index:, 3.376946, 
PSO, iterations:, 300:, Average distance in clusters:, 1.405468, Average distance between clusters:, 1.280345, Davies-Bouldin index:, 2.195452, 
PSO, iterations:, 300:, Average distance in clusters:, 1.351554, Average distance between clusters:, 0.998139, Davies-Bouldin index:, 2.708148, 
PSO, iterations:, 300:, Average distance in clusters:, 1.425110, Average distance between clusters:, 0.815596, Davies-Bouldin index:, 3.494648, 
PSO, iterations:, 300:, Average distance in clusters:, 1.452242, Average distance between clusters:, 0.528395, Davies-Bouldin index:, 5.496799, 
PSO, iterations:, 300:, Average distance in clusters:, 1.530172, Average distance between clusters:, 0.626150, Davies-Bouldin index:, 4.887559, 
PSO, iterations:, 300:, Average distance in clusters:, 1.478299, Average distance between clusters:, 0.778695, Davies-Bouldin index:, 3.796861, 
PSO, iterations:, 300:, Average distance in clusters:, 1.425617, Average distance between clusters:, 0.692131, Davies-Bouldin index:, 4.119502, 
PSO, iterations:, 300:, Average distance in clusters:, 1.524062, Average distance between clusters:, 0.832814, Davies-Bouldin index:, 3.660031, 
PSO, iterations:, 300:, Average distance in clusters:, 1.523363, Average distance between clusters:, 1.083463, Davies-Bouldin index:, 2.812025, 
PSO, iterations:, 300:, Average distance in clusters:, 1.510292, Average distance between clusters:, 0.889167, Davies-Bouldin index:, 3.397091, 
PSO, iterations:, 300:, Average distance in clusters:, 1.397315, Average distance between clusters:, 0.616071, Davies-Bouldin index:, 4.536215, 
PSO, iterations:, 300:, Average distance in clusters:, 1.489279, Average distance between clusters:, 0.460517, Davies-Bouldin index:, 6.467862, 
PSO, iterations:, 300:, Average distance in clusters:, 1.445343, Average distance between clusters:, 0.728803, Davies-Bouldin index:, 3.966349, 
PSO, iterations:, 300:, Average distance in clusters:, 1.580321, Average distance between clusters:, 0.716542, Davies-Bouldin index:, 4.410965, 
PSO, iterations:, 300:, Average distance in clusters:, 1.462527, Average distance between clusters:, 1.019114, Davies-Bouldin index:, 2.870193, 
PSO, iterations:, 300:, Average distance in clusters:, 1.361525, Average distance between clusters:, 0.817579, Davies-Bouldin index:, 3.330628, 
PSO, iterations:, 300:, Average distance in clusters:, 1.505039, Average distance between clusters:, 0.891955, Davies-Bouldin index:, 3.374697, 
PSO, iterations:, 300:, Average distance in clusters:, 1.444476, Average distance between clusters:, 1.054880, Davies-Bouldin index:, 2.738655, 
PSO, iterations:, 300:, Average distance in clusters:, 1.522201, Average distance between clusters:, 1.150887, Davies-Bouldin index:, 2.645265, 
PSO, iterations:, 300:, Average distance in clusters:, 1.432404, Average distance between clusters:, 0.670906, Davies-Bouldin index:, 4.270059, 
PSO, iterations:, 300:, Average distance in clusters:, 1.346974, Average distance between clusters:, 0.626751, Davies-Bouldin index:, 4.298272, 
PSO, iterations:, 300:, Average distance in clusters:, 1.507623, Average distance between clusters:, 0.954682, Davies-Bouldin index:, 3.158378, 
PSO, iterations:, 300:, Average distance in clusters:, 1.269666, Average distance between clusters:, 0.529576, Davies-Bouldin index:, 4.795030, 
PSO, iterations:, 300:, Average distance in clusters:, 1.494603, Average distance between clusters:, 0.999003, Davies-Bouldin index:, 2.992189, 
PSO, iterations:, 300:, Average distance in clusters:, 1.270016, Average distance between clusters:, 1.008348, Davies-Bouldin index:, 2.519003, 
PSO, iterations:, 300:, Average distance in clusters:, 1.310442, Average distance between clusters:, 0.665776, Davies-Bouldin index:, 3.936585, 
PSO, iterations:, 300:, Average distance in clusters:, 1.300609, Average distance between clusters:, 1.076383, Davies-Bouldin index:, 2.416628, 
PSO, iterations:, 300:, Average distance in clusters:, 1.527763, Average distance between clusters:, 0.940539, Davies-Bouldin index:, 3.248695, 
PSO, iterations:, 300:, Average distance in clusters:, 1.580487, Average distance between clusters:, 0.808250, Davies-Bouldin index:, 3.910887, 
PSO, iterations:, 300:, Average distance in clusters:, 1.441434, Average distance between clusters:, 1.056048, Davies-Bouldin index:, 2.729866, 
PSO, iterations:, 300:, Average distance in clusters:, 1.450438, Average distance between clusters:, 0.931448, Davies-Bouldin index:, 3.114375, 
PSO, iterations:, 300:, Average distance in clusters:, 1.464760, Average distance between clusters:, 1.020449, Davies-Bouldin index:, 2.870814, 
PSO, iterations:, 300:, Average distance in clusters:, 1.418805, Average distance between clusters:, 0.539398, Davies-Bouldin index:, 5.260699, 
PSO, iterations:, 300:, Average distance in clusters:, 1.467508, Average distance between clusters:, 0.953014, Davies-Bouldin index:, 3.079720, 
PSO, iterations:, 300:, Average distance in clusters:, 1.493688, Average distance between clusters:, 1.062616, Davies-Bouldin index:, 2.811341, 
PSO, iterations:, 300:, Average distance in clusters:, 1.502461, Average distance between clusters:, 0.922621, Davies-Bouldin index:, 3.256943, 
PSO, iterations:, 300:, Average distance in clusters:, 1.482160, Average distance between clusters:, 1.080096, Davies-Bouldin index:, 2.744496, 
PSO, iterations:, 300:, Average distance in clusters:, 1.515795, Average distance between clusters:, 0.768010, Davies-Bouldin index:, 3.947331, 
PSO, iterations:, 300:, Average distance in clusters:, 1.497703, Average distance between clusters:, 0.816651, Davies-Bouldin index:, 3.667912, 
PSO, iterations:, 300:, Average distance in clusters:, 1.365779, Average distance between clusters:, 0.928441, Davies-Bouldin index:, 2.942092, 
PSO, iterations:, 300:, Average distance in clusters:, 1.466126, Average distance between clusters:, 0.479880, Davies-Bouldin index:, 6.110379, 
PSO, iterations:, 300:, Average distance in clusters:, 1.422413, Average distance between clusters:, 1.090964, Davies-Bouldin index:, 2.607626, 
PSO, iterations:, 300:, Average distance in clusters:, 1.529975, Average distance between clusters:, 0.727489, Davies-Bouldin index:, 4.206183, 
PSO, iterations:, 300:, Average distance in clusters:, 1.559759, Average distance between clusters:, 1.037526, Davies-Bouldin index:, 3.006690, 
PSO, iterations:, 300:, Average distance in clusters:, 1.378400, Average distance between clusters:, 0.955338, Davies-Bouldin index:, 2.885681, 
PSO, iterations:, 300:, Average distance in clusters:, 1.476763, Average distance between clusters:, 0.548679, Davies-Bouldin index:, 5.382972, 
PSO, iterations:, 300:, Average distance in clusters:, 1.287497, Average distance between clusters:, 0.910622, Davies-Bouldin index:, 2.827733, 
PSO, iterations:, 300:, Average distance in clusters:, 1.266486, Average distance between clusters:, 0.640135, Davies-Bouldin index:, 3.956932, 
PSO, iterations:, 300:, Average distance in clusters:, 1.537709, Average distance between clusters:, 1.695166, Davies-Bouldin index:, 1.814227, 
PSO, iterations:, 300:, Average distance in clusters:, 1.469658, Average distance between clusters:, 0.629515, Davies-Bouldin index:, 4.669176, 
PSO, iterations:, 300:, Average distance in clusters:, 1.516064, Average distance between clusters:, 1.242284, Davies-Bouldin index:, 2.440768, 
PSO, iterations:, 300:, Average distance in clusters:, 1.360569, Average distance between clusters:, 0.580273, Davies-Bouldin index:, 4.689414, 
PSO, iterations:, 300:, Average distance in clusters:, 1.433185, Average distance between clusters:, 0.952916, Davies-Bouldin index:, 3.007997, 
PSO, iterations:, 300:, Average distance in clusters:, 1.543747, Average distance between clusters:, 0.971425, Davies-Bouldin index:, 3.178315, 
PSO, iterations:, 300:, Average distance in clusters:, 1.476739, Average distance between clusters:, 0.802749, Davies-Bouldin index:, 3.679206, 
PSO, iterations:, 300:, Average distance in clusters:, 1.290777, Average distance between clusters:, 0.974131, Davies-Bouldin index:, 2.650110, 
PSO, iterations:, 300:, Average distance in clusters:, 1.519033, Average distance between clusters:, 0.849258, Davies-Bouldin index:, 3.577319, 
PSO, iterations:, 300:, Average distance in clusters:, 1.414312, Average distance between clusters:, 0.930237, Davies-Bouldin index:, 3.040759, 
PSO, iterations:, 300:, Average distance in clusters:, 1.388394, Average distance between clusters:, 0.427479, Davies-Bouldin index:, 6.495731, 
PSO, iterations:, 300:, Average distance in clusters:, 1.410681, Average distance between clusters:, 1.097349, Davies-Bouldin index:, 2.571070, 
PSO, iterations:, 300:, Average distance in clusters:, 1.432481, Average distance between clusters:, 0.997552, Davies-Bouldin index:, 2.871994, 
PSO, iterations:, 300:, Average distance in clusters:, 1.528714, Average distance between clusters:, 1.207010, Davies-Bouldin index:, 2.533059, 
PSO, iterations:, 300:, Average distance in clusters:, 1.479987, Average distance between clusters:, 0.745870, Davies-Bouldin index:, 3.968485, 
PSO, iterations:, 300:, Average distance in clusters:, 1.416801, Average distance between clusters:, 0.839587, Davies-Bouldin index:, 3.374994, 
PSO, iterations:, 300:, Average distance in clusters:, 1.437900, Average distance between clusters:, 0.559638, Davies-Bouldin index:, 5.138682, 
PSO, iterations:, 300:, Average distance in clusters:, 1.390460, Average distance between clusters:, 0.692786, Davies-Bouldin index:, 4.014109, 
PSO, iterations:, 300:, Average distance in clusters:, 1.429884, Average distance between clusters:, 0.552677, Davies-Bouldin index:, 5.174387, 
PSO, iterations:, 300:, Average distance in clusters:, 1.254923, Average distance between clusters:, 0.676827, Davies-Bouldin index:, 3.708255, 
PSO, iterations:, 300:, Average distance in clusters:, 1.533621, Average distance between clusters:, 0.612831, Davies-Bouldin index:, 5.005039, 
PSO, iterations:, 300:, Average distance in clusters:, 1.476945, Average distance between clusters:, 0.697848, Davies-Bouldin index:, 4.232859, 
PSO, iterations:, 300:, Average distance in clusters:, 1.531187, Average distance between clusters:, 1.218818, Davies-Bouldin index:, 2.512576, 
PSO, iterations:, 300:, Average distance in clusters:, 1.419963, Average distance between clusters:, 0.675600, Davies-Bouldin index:, 4.203563, 
PSO, iterations:, 300:, Average distance in clusters:, 1.485759, Average distance between clusters:, 0.902961, Davies-Bouldin index:, 3.290862, 
PSO, iterations:, 300:, Average distance in clusters:, 1.492650, Average distance between clusters:, 0.865659, Davies-Bouldin index:, 3.448587, 
PSO, iterations:, 300:, Average distance in clusters:, 1.431706, Average distance between clusters:, 0.669501, Davies-Bouldin index:, 4.276933, 
PSO, iterations:, 300:, Average distance in clusters:, 1.463487, Average distance between clusters:, 0.687318, Davies-Bouldin index:, 4.258544, 
PSO, iterations:, 300:, Average distance in clusters:, 1.313308, Average distance between clusters:, 0.490015, Davies-Bouldin index:, 5.360280, 
PSO, iterations:, 300:, Average distance in clusters:, 1.495889, Average distance between clusters:, 1.438194, Davies-Bouldin index:, 2.080233, 
PSO, iterations:, 300:, Average distance in clusters:, 1.489286, Average distance between clusters:, 0.520340, Davies-Bouldin index:, 5.724282, 
PSO, iterations:, 300:, Average distance in clusters:, 1.495555, Average distance between clusters:, 1.075168, Davies-Bouldin index:, 2.781993, 
PSO, iterations:, 300:, Average distance in clusters:, 1.483130, Average distance between clusters:, 1.149361, Davies-Bouldin index:, 2.580790, 
