PSO, iterations:, 300:, Average distance in clusters:, 1.099242, Average distance between clusters:, 0.503363, Davies-Bouldin index:, 4.367588, 
PSO, iterations:, 300:, Average distance in clusters:, 1.164980, Average distance between clusters:, 0.921817, Davies-Bouldin index:, 2.527572, 
PSO, iterations:, 300:, Average distance in clusters:, 1.131104, Average distance between clusters:, 0.586176, Davies-Bouldin index:, 3.859265, 
PSO, iterations:, 300:, Average distance in clusters:, 0.943186, Average distance between clusters:, 0.935741, Davies-Bouldin index:, 2.015913, 
PSO, iterations:, 300:, Average distance in clusters:, 1.232071, Average distance between clusters:, 0.725610, Davies-Bouldin index:, 3.395959, 
PSO, iterations:, 300:, Average distance in clusters:, 1.037844, Average distance between clusters:, 0.647122, Davies-Bouldin index:, 3.207566, 
PSO, iterations:, 300:, Average distance in clusters:, 1.058643, Average distance between clusters:, 0.717225, Davies-Bouldin index:, 2.952051, 
PSO, iterations:, 300:, Average distance in clusters:, 1.304560, Average distance between clusters:, 0.694031, Davies-Bouldin index:, 3.759372, 
PSO, iterations:, 300:, Average distance in clusters:, 1.239317, Average distance between clusters:, 0.916594, Davies-Bouldin index:, 2.704179, 
PSO, iterations:, 300:, Average distance in clusters:, 1.090118, Average distance between clusters:, 0.509137, Davies-Bouldin index:, 4.282220, 
PSO, iterations:, 300:, Average distance in clusters:, 0.896515, Average distance between clusters:, 0.733200, Davies-Bouldin index:, 2.445486, 
PSO, iterations:, 300:, Average distance in clusters:, 1.044625, Average distance between clusters:, 0.621812, Davies-Bouldin index:, 3.359937, 
PSO, iterations:, 300:, Average distance in clusters:, 1.148241, Average distance between clusters:, 1.128567, Davies-Bouldin index:, 2.034865, 
PSO, iterations:, 300:, Average distance in clusters:, 1.185606, Average distance between clusters:, 0.851365, Davies-Bouldin index:, 2.785190, 
PSO, iterations:, 300:, Average distance in clusters:, 1.036392, Average distance between clusters:, 0.604887, Davies-Bouldin index:, 3.426728, 
PSO, iterations:, 300:, Average distance in clusters:, 0.922810, Average distance between clusters:, 0.835576, Davies-Bouldin index:, 2.208799, 
PSO, iterations:, 300:, Average distance in clusters:, 1.137624, Average distance between clusters:, 0.364670, Davies-Bouldin index:, 6.239201, 
PSO, iterations:, 300:, Average distance in clusters:, 1.001714, Average distance between clusters:, 0.593022, Davies-Bouldin index:, 3.378340, 
PSO, iterations:, 300:, Average distance in clusters:, 0.986054, Average distance between clusters:, 1.039216, Davies-Bouldin index:, 1.897688, 
PSO, iterations:, 300:, Average distance in clusters:, 1.057388, Average distance between clusters:, 0.657740, Davies-Bouldin index:, 3.215215, 
PSO, iterations:, 300:, Average distance in clusters:, 1.002992, Average distance between clusters:, 0.772509, Davies-Bouldin index:, 2.596713, 
PSO, iterations:, 300:, Average distance in clusters:, 1.250101, Average distance between clusters:, 0.708144, Davies-Bouldin index:, 3.530642, 
PSO, iterations:, 300:, Average distance in clusters:, 1.151723, Average distance between clusters:, 0.825545, Davies-Bouldin index:, 2.790212, 
PSO, iterations:, 300:, Average distance in clusters:, 1.084759, Average distance between clusters:, 0.477324, Davies-Bouldin index:, 4.545166, 
PSO, iterations:, 300:, Average distance in clusters:, 1.075774, Average distance between clusters:, 0.667562, Davies-Bouldin index:, 3.222995, 
PSO, iterations:, 300:, Average distance in clusters:, 0.948575, Average distance between clusters:, 0.953628, Davies-Bouldin index:, 1.989401, 
PSO, iterations:, 300:, Average distance in clusters:, 1.104996, Average distance between clusters:, 0.541234, Davies-Bouldin index:, 4.083249, 
PSO, iterations:, 300:, Average distance in clusters:, 1.178738, Average distance between clusters:, 1.015455, Davies-Bouldin index:, 2.321596, 
PSO, iterations:, 300:, Average distance in clusters:, 1.073967, Average distance between clusters:, 0.920125, Davies-Bouldin index:, 2.334395, 
PSO, iterations:, 300:, Average distance in clusters:, 1.108252, Average distance between clusters:, 0.809416, Davies-Bouldin index:, 2.738399, 
PSO, iterations:, 300:, Average distance in clusters:, 1.075349, Average distance between clusters:, 0.706021, Davies-Bouldin index:, 3.046224, 
PSO, iterations:, 300:, Average distance in clusters:, 1.006655, Average distance between clusters:, 0.683566, Davies-Bouldin index:, 2.945303, 
PSO, iterations:, 300:, Average distance in clusters:, 1.116755, Average distance between clusters:, 0.418459, Davies-Bouldin index:, 5.337467, 
PSO, iterations:, 300:, Average distance in clusters:, 1.127705, Average distance between clusters:, 0.325982, Davies-Bouldin index:, 6.918812, 
PSO, iterations:, 300:, Average distance in clusters:, 1.024823, Average distance between clusters:, 0.695238, Davies-Bouldin index:, 2.948123, 
PSO, iterations:, 300:, Average distance in clusters:, 1.060043, Average distance between clusters:, 0.430327, Davies-Bouldin index:, 4.926681, 
PSO, iterations:, 300:, Average distance in clusters:, 1.049375, Average distance between clusters:, 0.311097, Davies-Bouldin index:, 6.746298, 
PSO, iterations:, 300:, Average distance in clusters:, 1.097532, Average distance between clusters:, 0.697511, Davies-Bouldin index:, 3.146997, 
PSO, iterations:, 300:, Average distance in clusters:, 1.063134, Average distance between clusters:, 0.524727, Davies-Bouldin index:, 4.052138, 
PSO, iterations:, 300:, Average distance in clusters:, 1.061519, Average distance between clusters:, 0.303198, Davies-Bouldin index:, 7.002152, 
PSO, iterations:, 300:, Average distance in clusters:, 1.238968, Average distance between clusters:, 0.676624, Davies-Bouldin index:, 3.662205, 
PSO, iterations:, 300:, Average distance in clusters:, 1.032972, Average distance between clusters:, 0.750122, Davies-Bouldin index:, 2.754142, 
PSO, iterations:, 300:, Average distance in clusters:, 1.167087, Average distance between clusters:, 0.842851, Davies-Bouldin index:, 2.769378, 
PSO, iterations:, 300:, Average distance in clusters:, 1.115506, Average distance between clusters:, 0.523179, Davies-Bouldin index:, 4.264342, 
PSO, iterations:, 300:, Average distance in clusters:, 1.105231, Average distance between clusters:, 0.603028, Davies-Bouldin index:, 3.665602, 
PSO, iterations:, 300:, Average distance in clusters:, 1.088434, Average distance between clusters:, 0.818209, Davies-Bouldin index:, 2.660529, 
PSO, iterations:, 300:, Average distance in clusters:, 1.010562, Average distance between clusters:, 0.638715, Davies-Bouldin index:, 3.164360, 
PSO, iterations:, 300:, Average distance in clusters:, 1.001348, Average distance between clusters:, 0.809999, Davies-Bouldin index:, 2.472466, 
PSO, iterations:, 300:, Average distance in clusters:, 1.091366, Average distance between clusters:, 0.754339, Davies-Bouldin index:, 2.893568, 
PSO, iterations:, 300:, Average distance in clusters:, 1.036273, Average distance between clusters:, 0.657864, Davies-Bouldin index:, 3.150418, 
PSO, iterations:, 300:, Average distance in clusters:, 1.049242, Average distance between clusters:, 0.689034, Davies-Bouldin index:, 3.045547, 
PSO, iterations:, 300:, Average distance in clusters:, 1.120966, Average distance between clusters:, 0.357823, Davies-Bouldin index:, 6.265475, 
PSO, iterations:, 300:, Average distance in clusters:, 1.114219, Average distance between clusters:, 0.528433, Davies-Bouldin index:, 4.217065, 
PSO, iterations:, 300:, Average distance in clusters:, 1.078517, Average distance between clusters:, 0.381195, Davies-Bouldin index:, 5.658617, 
PSO, iterations:, 300:, Average distance in clusters:, 1.070193, Average distance between clusters:, 0.612963, Davies-Bouldin index:, 3.491867, 
PSO, iterations:, 300:, Average distance in clusters:, 1.038697, Average distance between clusters:, 0.490176, Davies-Bouldin index:, 4.238054, 
PSO, iterations:, 300:, Average distance in clusters:, 1.020053, Average distance between clusters:, 0.722801, Davies-Bouldin index:, 2.822500, 
PSO, iterations:, 300:, Average distance in clusters:, 1.095741, Average distance between clusters:, 0.611211, Davies-Bouldin index:, 3.585474, 
PSO, iterations:, 300:, Average distance in clusters:, 0.976587, Average distance between clusters:, 0.689591, Davies-Bouldin index:, 2.832366, 
PSO, iterations:, 300:, Average distance in clusters:, 1.107573, Average distance between clusters:, 0.357429, Davies-Bouldin index:, 6.197451, 
PSO, iterations:, 300:, Average distance in clusters:, 1.055823, Average distance between clusters:, 0.712471, Davies-Bouldin index:, 2.963832, 
PSO, iterations:, 300:, Average distance in clusters:, 1.105127, Average distance between clusters:, 0.698578, Davies-Bouldin index:, 3.163931, 
PSO, iterations:, 300:, Average distance in clusters:, 1.044408, Average distance between clusters:, 0.511769, Davies-Bouldin index:, 4.081556, 
PSO, iterations:, 300:, Average distance in clusters:, 1.001323, Average distance between clusters:, 0.697232, Davies-Bouldin index:, 2.872282, 
PSO, iterations:, 300:, Average distance in clusters:, 1.029343, Average distance between clusters:, 0.547886, Davies-Bouldin index:, 3.757510, 
PSO, iterations:, 300:, Average distance in clusters:, 1.022152, Average distance between clusters:, 0.666695, Davies-Bouldin index:, 3.066328, 
PSO, iterations:, 300:, Average distance in clusters:, 1.112489, Average distance between clusters:, 0.404989, Davies-Bouldin index:, 5.493918, 
PSO, iterations:, 300:, Average distance in clusters:, 0.994086, Average distance between clusters:, 0.694699, Davies-Bouldin index:, 2.861921, 
PSO, iterations:, 300:, Average distance in clusters:, 1.034426, Average distance between clusters:, 1.267973, Davies-Bouldin index:, 1.631621, 
PSO, iterations:, 300:, Average distance in clusters:, 1.072176, Average distance between clusters:, 0.980562, Davies-Bouldin index:, 2.186860, 
PSO, iterations:, 300:, Average distance in clusters:, 1.192127, Average distance between clusters:, 0.741145, Davies-Bouldin index:, 3.216986, 
PSO, iterations:, 300:, Average distance in clusters:, 1.147835, Average distance between clusters:, 1.011951, Davies-Bouldin index:, 2.268557, 
PSO, iterations:, 300:, Average distance in clusters:, 1.103096, Average distance between clusters:, 0.310341, Davies-Bouldin index:, 7.108929, 
PSO, iterations:, 300:, Average distance in clusters:, 0.992933, Average distance between clusters:, 0.331692, Davies-Bouldin index:, 5.987076, 
PSO, iterations:, 300:, Average distance in clusters:, 1.099294, Average distance between clusters:, 0.645161, Davies-Bouldin index:, 3.407812, 
PSO, iterations:, 300:, Average distance in clusters:, 1.088287, Average distance between clusters:, 0.626972, Davies-Bouldin index:, 3.471566, 
PSO, iterations:, 300:, Average distance in clusters:, 1.051731, Average distance between clusters:, 0.400496, Davies-Bouldin index:, 5.252149, 
