PSO, iterations:, 300: Average distance in clusters: 0.408703, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.391939, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.763318, Average distance between clusters: 0.474725, Davies-Bouldin index: 3.215835, 
PSO, iterations:, 300: Average distance in clusters: 0.584343, Average distance between clusters: 0.200327, Davies-Bouldin index: 5.833886, 
PSO, iterations:, 300: Average distance in clusters: 0.764121, Average distance between clusters: 0.353494, Davies-Bouldin index: 4.323246, 
PSO, iterations:, 300: Average distance in clusters: 0.678619, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.345019, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.364918, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.346534, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.418353, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.691414, Average distance between clusters: 0.383830, Davies-Bouldin index: 3.602711, 
PSO, iterations:, 300: Average distance in clusters: 0.828866, Average distance between clusters: 0.503401, Davies-Bouldin index: 3.293062, 
PSO, iterations:, 300: Average distance in clusters: 0.666931, Average distance between clusters: 0.587995, Davies-Bouldin index: 2.268493, 
PSO, iterations:, 300: Average distance in clusters: 0.477939, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.348417, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.333099, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.709085, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.719809, Average distance between clusters: 0.243201, Davies-Bouldin index: 5.919459, 
PSO, iterations:, 300: Average distance in clusters: 0.324962, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.321499, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.574916, Average distance between clusters: 0.213372, Davies-Bouldin index: 5.388868, 
