PSO, iterations:, 300:, Average distance in clusters:, 1.167229, Average distance between clusters:, 1.045175, Davies-Bouldin index:, 2.233557, 
PSO, iterations:, 300:, Average distance in clusters:, 1.208087, Average distance between clusters:, 0.786519, Davies-Bouldin index:, 3.071985, 
PSO, iterations:, 300:, Average distance in clusters:, 1.554469, Average distance between clusters:, 1.240357, Davies-Bouldin index:, 2.506486, 
PSO, iterations:, 300:, Average distance in clusters:, 0.918379, Average distance between clusters:, 0.667343, Davies-Bouldin index:, 2.752345, 
PSO, iterations:, 300:, Average distance in clusters:, 0.804061, Average distance between clusters:, 0.473844, Davies-Bouldin index:, 3.393776, 
PSO, iterations:, 300:, Average distance in clusters:, 1.169230, Average distance between clusters:, 1.166987, Davies-Bouldin index:, 2.003843, 
PSO, iterations:, 300:, Average distance in clusters:, 0.708317, Average distance between clusters:, 0.385487, Davies-Bouldin index:, 3.674924, 
PSO, iterations:, 300:, Average distance in clusters:, 1.349825, Average distance between clusters:, 0.682036, Davies-Bouldin index:, 3.958222, 
PSO, iterations:, 300:, Average distance in clusters:, 1.082872, Average distance between clusters:, 0.712855, Davies-Bouldin index:, 3.038126, 
PSO, iterations:, 300:, Average distance in clusters:, 0.886954, Average distance between clusters:, 0.322267, Davies-Bouldin index:, 5.504475, 
PSO, iterations:, 300:, Average distance in clusters:, 0.776941, Average distance between clusters:, 0.617487, Davies-Bouldin index:, 2.516464, 
PSO, iterations:, 300:, Average distance in clusters:, 0.887045, Average distance between clusters:, 0.388658, Davies-Bouldin index:, 4.564659, 
PSO, iterations:, 300:, Average distance in clusters:, 0.947673, Average distance between clusters:, 0.803537, Davies-Bouldin index:, 2.358753, 
PSO, iterations:, 300:, Average distance in clusters:, 0.873880, Average distance between clusters:, 0.651905, Davies-Bouldin index:, 2.681004, 
PSO, iterations:, 300:, Average distance in clusters:, 1.086074, Average distance between clusters:, 0.788170, Davies-Bouldin index:, 2.755939, 
PSO, iterations:, 300:, Average distance in clusters:, 1.174143, Average distance between clusters:, 0.682730, Davies-Bouldin index:, 3.439552, 
PSO, iterations:, 300:, Average distance in clusters:, 0.579169, Average distance between clusters:, 0.271434, Davies-Bouldin index:, 4.267478, 
PSO, iterations:, 300:, Average distance in clusters:, 0.837671, Average distance between clusters:, 0.455894, Davies-Bouldin index:, 3.674854, 
PSO, iterations:, 300:, Average distance in clusters:, 0.599820, Average distance between clusters:, 0.257478, Davies-Bouldin index:, 4.659187, 
PSO, iterations:, 300:, Average distance in clusters:, 1.035122, Average distance between clusters:, 0.835613, Davies-Bouldin index:, 2.477514, 
PSO, iterations:, 300:, Average distance in clusters:, 1.087902, Average distance between clusters:, 0.851224, Davies-Bouldin index:, 2.556090, 
PSO, iterations:, 300:, Average distance in clusters:, 0.592861, Average distance between clusters:, 0.441451, Davies-Bouldin index:, 2.685963, 
PSO, iterations:, 300:, Average distance in clusters:, 1.428250, Average distance between clusters:, 1.351724, Davies-Bouldin index:, 2.113227, 
PSO, iterations:, 300:, Average distance in clusters:, 0.886860, Average distance between clusters:, 0.651758, Davies-Bouldin index:, 2.721441, 
PSO, iterations:, 300:, Average distance in clusters:, 0.877971, Average distance between clusters:, 0.555271, Davies-Bouldin index:, 3.162318, 
PSO, iterations:, 300:, Average distance in clusters:, 1.183819, Average distance between clusters:, 1.105303, Davies-Bouldin index:, 2.142071, 
PSO, iterations:, 300:, Average distance in clusters:, 0.894281, Average distance between clusters:, 0.711820, Davies-Bouldin index:, 2.512658, 
PSO, iterations:, 300:, Average distance in clusters:, 0.853966, Average distance between clusters:, 0.405779, Davies-Bouldin index:, 4.209024, 
PSO, iterations:, 300:, Average distance in clusters:, 0.851104, Average distance between clusters:, 0.781658, Davies-Bouldin index:, 2.177690, 
PSO, iterations:, 300:, Average distance in clusters:, 1.440899, Average distance between clusters:, 1.098537, Davies-Bouldin index:, 2.623304, 
PSO, iterations:, 300:, Average distance in clusters:, 0.861702, Average distance between clusters:, 0.821083, Davies-Bouldin index:, 2.098941, 
PSO, iterations:, 300:, Average distance in clusters:, 0.811757, Average distance between clusters:, 0.673686, Davies-Bouldin index:, 2.409897, 
PSO, iterations:, 300:, Average distance in clusters:, 0.523463, Average distance between clusters:, 0.252033, Davies-Bouldin index:, 4.153930, 
PSO, iterations:, 300:, Average distance in clusters:, 0.915661, Average distance between clusters:, 0.690587, Davies-Bouldin index:, 2.651832, 
PSO, iterations:, 300:, Average distance in clusters:, 0.847418, Average distance between clusters:, 0.586843, Davies-Bouldin index:, 2.888055, 
PSO, iterations:, 300:, Average distance in clusters:, 0.557585, Average distance between clusters:, 0.241675, Davies-Bouldin index:, 4.614341, 
PSO, iterations:, 300:, Average distance in clusters:, 1.341543, Average distance between clusters:, 0.799885, Davies-Bouldin index:, 3.354337, 
PSO, iterations:, 300:, Average distance in clusters:, 0.806030, Average distance between clusters:, 0.403011, Davies-Bouldin index:, 4.000040, 
PSO, iterations:, 300:, Average distance in clusters:, 1.046257, Average distance between clusters:, 0.672777, Davies-Bouldin index:, 3.110263, 
PSO, iterations:, 300:, Average distance in clusters:, 0.869985, Average distance between clusters:, 0.550759, Davies-Bouldin index:, 3.159224, 
PSO, iterations:, 300:, Average distance in clusters:, 1.103243, Average distance between clusters:, 1.043905, Davies-Bouldin index:, 2.113684, 
PSO, iterations:, 300:, Average distance in clusters:, 0.802428, Average distance between clusters:, 0.501245, Davies-Bouldin index:, 3.201740, 
PSO, iterations:, 300:, Average distance in clusters:, 1.072220, Average distance between clusters:, 0.706974, Davies-Bouldin index:, 3.033265, 
PSO, iterations:, 300:, Average distance in clusters:, 0.946930, Average distance between clusters:, 0.949334, Davies-Bouldin index:, 1.994934, 
PSO, iterations:, 300:, Average distance in clusters:, 1.037861, Average distance between clusters:, 0.920079, Davies-Bouldin index:, 2.256026, 
