PSO, iterations:, 300:, Average distance in clusters:, 2.354491, Average distance between clusters:, 2.227502, Davies-Bouldin index:, 2.114019, 
PSO, iterations:, 300:, Average distance in clusters:, 2.354019, Average distance between clusters:, 1.895389, Davies-Bouldin index:, 2.483942, 
PSO, iterations:, 300:, Average distance in clusters:, 2.415271, Average distance between clusters:, 2.377313, Davies-Bouldin index:, 2.031933, 
PSO, iterations:, 300:, Average distance in clusters:, 2.550000, Average distance between clusters:, 0.841685, Davies-Bouldin index:, 6.059276, 
PSO, iterations:, 300:, Average distance in clusters:, 2.330909, Average distance between clusters:, 1.348622, Davies-Bouldin index:, 3.456728, 
PSO, iterations:, 300:, Average distance in clusters:, 2.427439, Average distance between clusters:, 1.444447, Davies-Bouldin index:, 3.361063, 
PSO, iterations:, 300:, Average distance in clusters:, 2.496288, Average distance between clusters:, 1.903811, Davies-Bouldin index:, 2.622410, 
PSO, iterations:, 300:, Average distance in clusters:, 2.443882, Average distance between clusters:, 0.879699, Davies-Bouldin index:, 5.556174, 
PSO, iterations:, 300:, Average distance in clusters:, 2.402455, Average distance between clusters:, 0.950450, Davies-Bouldin index:, 5.055407, 
PSO, iterations:, 300:, Average distance in clusters:, 2.339374, Average distance between clusters:, 1.920684, Davies-Bouldin index:, 2.435980, 
PSO, iterations:, 300:, Average distance in clusters:, 2.360286, Average distance between clusters:, 1.849705, Davies-Bouldin index:, 2.552068, 
PSO, iterations:, 300:, Average distance in clusters:, 2.452334, Average distance between clusters:, 0.808324, Davies-Bouldin index:, 6.067705, 
PSO, iterations:, 300:, Average distance in clusters:, 2.551067, Average distance between clusters:, 1.144255, Davies-Bouldin index:, 4.458915, 
PSO, iterations:, 300:, Average distance in clusters:, 2.422646, Average distance between clusters:, 1.236113, Davies-Bouldin index:, 3.919780, 
PSO, iterations:, 300:, Average distance in clusters:, 2.519443, Average distance between clusters:, 0.819931, Davies-Bouldin index:, 6.145499, 
PSO, iterations:, 300:, Average distance in clusters:, 2.521209, Average distance between clusters:, 1.981136, Davies-Bouldin index:, 2.545216, 
PSO, iterations:, 300:, Average distance in clusters:, 2.397300, Average distance between clusters:, 1.848869, Davies-Bouldin index:, 2.593261, 
PSO, iterations:, 300:, Average distance in clusters:, 2.460836, Average distance between clusters:, 1.399549, Davies-Bouldin index:, 3.516612, 
PSO, iterations:, 300:, Average distance in clusters:, 2.536335, Average distance between clusters:, 0.770056, Davies-Bouldin index:, 6.587407, 
PSO, iterations:, 300:, Average distance in clusters:, 2.404432, Average distance between clusters:, 0.957458, Davies-Bouldin index:, 5.022531, 
PSO, iterations:, 300:, Average distance in clusters:, 2.513480, Average distance between clusters:, 1.080201, Davies-Bouldin index:, 4.653727, 
PSO, iterations:, 300:, Average distance in clusters:, 2.533502, Average distance between clusters:, 1.483114, Davies-Bouldin index:, 3.416463, 
PSO, iterations:, 300:, Average distance in clusters:, 2.550144, Average distance between clusters:, 1.219276, Davies-Bouldin index:, 4.183047, 
PSO, iterations:, 300:, Average distance in clusters:, 2.371228, Average distance between clusters:, 1.423179, Davies-Bouldin index:, 3.332297, 
PSO, iterations:, 300:, Average distance in clusters:, 2.421794, Average distance between clusters:, 1.979051, Davies-Bouldin index:, 2.447430, 
PSO, iterations:, 300:, Average distance in clusters:, 2.491511, Average distance between clusters:, 1.733780, Davies-Bouldin index:, 2.874080, 
PSO, iterations:, 300:, Average distance in clusters:, 2.415543, Average distance between clusters:, 1.521680, Davies-Bouldin index:, 3.174837, 
